Species,Accepted,Class,Order,Family,Mass,Mass imputed
Bufo calamita,Epidalea calamita,Amphibia,Anura,Bufonidae,50.22,FALSE
Rana latastei,Rana latastei,Amphibia,Anura,Ranidae,0.10597710336560145,TRUE
Salamandra atra,Salamandra atra,Amphibia,Caudata,Salamandridae,8.2,FALSE
Salamandra lanzai,Salamandra lanzai,Amphibia,Caudata,Salamandridae,12.2,FALSE
Salamandra salamandra,Salamandra salamandra,Amphibia,Caudata,Salamandridae,35.23,FALSE
Accipiter gentilis,Accipiter gentilis,Aves,Accipitriformes,Accipitridae,866.04,FALSE
Accipiter nisus,Accipiter nisus,Aves,Accipitriformes,Accipitridae,220.79,FALSE
Aquila pomarina,Aquila pomarina,Aves,Accipitriformes,Accipitridae,1359.41,FALSE
Buteo buteo,Buteo buteo,Aves,Accipitriformes,Accipitridae,759.1,FALSE
Circus aeruginosus,Circus aeruginosus,Aves,Accipitriformes,Accipitridae,704.07,FALSE
Pernis apivorus,Pernis apivorus,Aves,Accipitriformes,Accipitridae,754.37,FALSE
Anas clypeata,Anas clypeata,Aves,Anseriformes,Anatidae,612.56,FALSE
Anas crecca,Anas crecca,Aves,Anseriformes,Anatidae,341.89,FALSE
Anas platyrhynchos,Anas platyrhynchos,Aves,Anseriformes,Anatidae,843.42,FALSE
Anas querquedula,Anas querquedula,Aves,Anseriformes,Anatidae,325.6,FALSE
Anas strepera,Anas strepera,Aves,Anseriformes,Anatidae,915.58,FALSE
Anser anser,Anser anser,Aves,Anseriformes,Anatidae,3302.41,FALSE
Aythya ferina,Aythya ferina,Aves,Anseriformes,Anatidae,822.99,FALSE
Aythya fuligula,Aythya fuligula,Aves,Anseriformes,Anatidae,701.17,FALSE
Aythya nyroca,Aythya nyroca,Aves,Anseriformes,Anatidae,574,FALSE
Bucephala clangula,Bucephala clangula,Aves,Anseriformes,Anatidae,918.56,FALSE
Cygnus olor,Cygnus olor,Aves,Anseriformes,Anatidae,10682.04,FALSE
Mergus serrator,Mergus serrator,Aves,Anseriformes,Anatidae,1015.17,FALSE
Netta rufina,Netta rufina,Aves,Anseriformes,Anatidae,1118,FALSE
Apus apus,Apus apus,Aves,Apodiformes,Apodidae,37.6,FALSE
Upupa epops,Upupa epops,Aves,Bucerotiformes,Upupidae,66.93,FALSE
Burhinus oedicnemus,Burhinus oedicnemus,Aves,Charadriiformes,Burhinidae,459,FALSE
Charadrius dubius,Charadrius dubius,Aves,Charadriiformes,Charadriidae,38.7,FALSE
Charadrius hiaticula,Charadrius hiaticula,Aves,Charadriiformes,Charadriidae,64.04,FALSE
Pluvialis apricaria,Pluvialis apricaria,Aves,Charadriiformes,Charadriidae,214,FALSE
Vanellus vanellus,Vanellus vanellus,Aves,Charadriiformes,Charadriidae,218.37,FALSE
Haematopus ostralegus,Haematopus ostralegus,Aves,Charadriiformes,Haematopodidae,526,FALSE
Chlidonias niger,Chlidonias niger,Aves,Charadriiformes,Laridae,65.3,FALSE
Larus argentatus,Larus argentatus,Aves,Charadriiformes,Laridae,1090.99,FALSE
Larus canus,Larus canus,Aves,Charadriiformes,Laridae,412.53,FALSE
Larus fuscus,Larus fuscus,Aves,Charadriiformes,Laridae,762.36,FALSE
Larus ridibundus,Chroicocephalus ridibundus,Aves,Charadriiformes,Laridae,284,FALSE
Sterna albifrons,Sternula albifrons,Aves,Charadriiformes,Laridae,57,FALSE
Sterna hirundo,Sterna hirundo,Aves,Charadriiformes,Laridae,129.15,FALSE
Sterna paradisaea,Sterna paradisaea,Aves,Charadriiformes,Laridae,110,FALSE
Recurvirostra avosetta,Recurvirostra avosetta,Aves,Charadriiformes,Recurvirostridae,304,FALSE
Actitis hypoleucos,Actitis hypoleucos,Aves,Charadriiformes,Scolopacidae,48,FALSE
Gallinago gallinago,Gallinago gallinago,Aves,Charadriiformes,Scolopacidae,112.94,FALSE
Limosa limosa,Limosa limosa,Aves,Charadriiformes,Scolopacidae,288.37,FALSE
Numenius arquata,Numenius arquata,Aves,Charadriiformes,Scolopacidae,802.99,FALSE
Scolopax rusticola,Scolopax rusticola,Aves,Charadriiformes,Scolopacidae,308.31,FALSE
Tringa glareola,Tringa glareola,Aves,Charadriiformes,Scolopacidae,62.05,FALSE
Tringa ochropus,Tringa ochropus,Aves,Charadriiformes,Scolopacidae,71.4,FALSE
Tringa totanus,Tringa totanus,Aves,Charadriiformes,Scolopacidae,129,FALSE
Columba livia,Columba livia,Aves,Columbiformes,Columbidae,354.2,FALSE
Columba oenas,Columba oenas,Aves,Columbiformes,Columbidae,290.79,FALSE
Columba palumbus,Columba palumbus,Aves,Columbiformes,Columbidae,490,FALSE
Streptopelia decaocto,Streptopelia decaocto,Aves,Columbiformes,Columbidae,148.96,FALSE
Streptopelia turtur,Streptopelia turtur,Aves,Columbiformes,Columbidae,132,FALSE
Alcedo atthis,Alcedo atthis,Aves,Coraciiformes,Alcedinidae,31.09,FALSE
Cuculus canorus,Cuculus canorus,Aves,Cuculiformes,Cuculidae,111.36,FALSE
Falco subbuteo,Falco subbuteo,Aves,Falconiformes,Falconidae,208.17,FALSE
Falco tinnunculus,Falco tinnunculus,Aves,Falconiformes,Falconidae,183.21,FALSE
Alectoris rufa,Alectoris rufa,Aves,Galliformes,Phasianidae,527.86,FALSE
Bonasa bonasia,Tetrastes bonasia,Aves,Galliformes,Phasianidae,429,FALSE
Lagopus lagopus,Lagopus lagopus,Aves,Galliformes,Phasianidae,566.86,FALSE
Perdix perdix,Perdix perdix,Aves,Galliformes,Phasianidae,405.3,FALSE
Phasianus colchicus,Phasianus colchicus,Aves,Galliformes,Phasianidae,1120.31,FALSE
Tetrao tetrix,Lyrurus tetrix,Aves,Galliformes,Phasianidae,1068.66,FALSE
Tetrao urogallus,Tetrao urogallus,Aves,Galliformes,Phasianidae,2716.61,FALSE
Grus grus,Grus grus,Aves,Gruiformes,Gruidae,5499.99,FALSE
Crex crex,Crex crex,Aves,Gruiformes,Rallidae,154.91,FALSE
Fulica atra,Fulica atra,Aves,Gruiformes,Rallidae,717.12,FALSE
Gallinula chloropus,Gallinula chloropus,Aves,Gruiformes,Rallidae,339.63,FALSE
Porzana parva,Porzana parva,Aves,Gruiformes,Rallidae,49.7,FALSE
Porzana porzana,Porzana porzana,Aves,Gruiformes,Rallidae,87.1,FALSE
Rallus aquaticus,Rallus aquaticus,Aves,Gruiformes,Rallidae,110.67,FALSE
Otis tarda,Otis tarda,Aves,Otidiformes,Otididae,6759.92,FALSE
Tetrax tetrax,Tetrax tetrax,Aves,Otidiformes,Otididae,833.45,FALSE
Aegithalos caudatus,NA,NA,NA,NA,8.6,FALSE
Alauda arvensis,Alauda arvensis,Aves,Passeriformes,Alaudidae,37.31,FALSE
Calandrella brachydactyla,Calandrella brachydactyla,Aves,Passeriformes,Alaudidae,21.06,FALSE
Galerida theklae,Galerida theklae,Aves,Passeriformes,Alaudidae,38.17,FALSE
Lullula arborea,Lullula arborea,Aves,Passeriformes,Alaudidae,26.9,FALSE
Melanocorypha calandra,Melanocorypha calandra,Aves,Passeriformes,Alaudidae,61.6,FALSE
Certhia brachydactyla,Certhia brachydactyla,Aves,Passeriformes,Certhiidae,8.2,FALSE
Certhia familiaris,Certhia familiaris,Aves,Passeriformes,Certhiidae,9,FALSE
Cinclus cinclus,Cinclus cinclus,Aves,Passeriformes,Cinclidae,61.47,FALSE
Cisticola juncidis,Cisticola juncidis,Aves,Passeriformes,Cisticolidae,6.81,FALSE
Corvus corax,Corvus corax,Aves,Passeriformes,Corvidae,927.97,FALSE
Corvus corone,Corvus corone,Aves,Passeriformes,Corvidae,570,FALSE
Corvus frugilegus,Corvus frugilegus,Aves,Passeriformes,Corvidae,452.1,FALSE
Corvus monedula,Coloeus monedula,Aves,Passeriformes,Corvidae,246,FALSE
Cyanopica cyanus,Cyanopica cyanus,Aves,Passeriformes,Corvidae,95.91,FALSE
Garrulus glandarius,Garrulus glandarius,Aves,Passeriformes,Corvidae,159.46,FALSE
Pica pica,Pica pica,Aves,Passeriformes,Corvidae,217.48,FALSE
Emberiza cia,Emberiza cia,Aves,Passeriformes,Emberizidae,23.43,FALSE
Emberiza cirlus,Emberiza cirlus,Aves,Passeriformes,Emberizidae,25.6,FALSE
Emberiza citrinella,Emberiza citrinella,Aves,Passeriformes,Emberizidae,29.7,FALSE
Emberiza hortulana,Emberiza hortulana,Aves,Passeriformes,Emberizidae,19.9,FALSE
Emberiza schoeniclus,Emberiza schoeniclus,Aves,Passeriformes,Emberizidae,18.4,FALSE
Miliaria calandra,Emberiza calandra,Aves,Passeriformes,Emberizidae,48.5,FALSE
Carduelis cannabina,Linaria cannabina,Aves,Passeriformes,Fringillidae,19.53,FALSE
Carduelis carduelis,Carduelis carduelis,Aves,Passeriformes,Fringillidae,16,FALSE
Carduelis chloris,Chloris chloris,Aves,Passeriformes,Fringillidae,26,FALSE
Carduelis citrinella,Carduelis citrinella,Aves,Passeriformes,Fringillidae,12,FALSE
Carduelis flammea,Acanthis flammea,Aves,Passeriformes,Fringillidae,13,FALSE
Carduelis spinus,Spinus spinus,Aves,Passeriformes,Fringillidae,13.24,FALSE
Carpodacus erythrinus,Carpodacus erythrinus,Aves,Passeriformes,Fringillidae,23.97,FALSE
Coccothraustes coccothraustes,Coccothraustes coccothraustes,Aves,Passeriformes,Fringillidae,56.63,FALSE
Fringilla coelebs,Fringilla coelebs,Aves,Passeriformes,Fringillidae,23.81,FALSE
Fringilla montifringilla,Fringilla montifringilla,Aves,Passeriformes,Fringillidae,23.19,FALSE
Loxia curvirostra,Loxia curvirostra,Aves,Passeriformes,Fringillidae,38.29,FALSE
Pyrrhula pyrrhula,Pyrrhula pyrrhula,Aves,Passeriformes,Fringillidae,24.26,FALSE
Serinus canaria,Serinus canaria,Aves,Passeriformes,Fringillidae,24.3,FALSE
Serinus serinus,Serinus serinus,Aves,Passeriformes,Fringillidae,11.2,FALSE
Delichon urbicum,Delichon urbicum,Aves,Passeriformes,Hirundinidae,14.5,FALSE
Hirundo rustica,Hirundo rustica,Aves,Passeriformes,Hirundinidae,17.91,FALSE
Lanius collurio,Lanius collurio,Aves,Passeriformes,Laniidae,28.44,FALSE
Lanius excubitor,Lanius excubitor,Aves,Passeriformes,Laniidae,63.41,FALSE
Locustella luscinioides,Locustella luscinioides,Aves,Passeriformes,Locustellidae,13.89,FALSE
Anthus campestris,Anthus campestris,Aves,Passeriformes,Motacillidae,23,FALSE
Anthus pratensis,Anthus pratensis,Aves,Passeriformes,Motacillidae,18.4,FALSE
Anthus trivialis,Anthus trivialis,Aves,Passeriformes,Motacillidae,23.33,FALSE
Motacilla alba,Motacilla alba,Aves,Passeriformes,Motacillidae,23.93,FALSE
Motacilla cinerea,Motacilla cinerea,Aves,Passeriformes,Motacillidae,17.15,FALSE
Motacilla flava,Motacilla flava,Aves,Passeriformes,Motacillidae,17.68,FALSE
Erithacus rubecula,Erithacus rubecula,Aves,Passeriformes,Muscicapidae,17.7,FALSE
Ficedula albicollis,Ficedula albicollis,Aves,Passeriformes,Muscicapidae,12.69,FALSE
Ficedula hypoleuca,Ficedula hypoleuca,Aves,Passeriformes,Muscicapidae,13.79,FALSE
Ficedula parva,Ficedula parva,Aves,Passeriformes,Muscicapidae,10.8,FALSE
Ficedula semitorquata,Ficedula semitorquata,Aves,Passeriformes,Muscicapidae,14.4,FALSE
Luscinia luscinia,Luscinia luscinia,Aves,Passeriformes,Muscicapidae,23.8,FALSE
Luscinia megarhynchos,Luscinia megarhynchos,Aves,Passeriformes,Muscicapidae,19.6,FALSE
Muscicapa striata,Muscicapa striata,Aves,Passeriformes,Muscicapidae,15.9,FALSE
Oenanthe hispanica,Oenanthe hispanica,Aves,Passeriformes,Muscicapidae,15.04,FALSE
Phoenicurus ochruros,Phoenicurus ochruros,Aves,Passeriformes,Muscicapidae,16.5,FALSE
Phoenicurus phoenicurus,Phoenicurus phoenicurus,Aves,Passeriformes,Muscicapidae,14.59,FALSE
Saxicola rubetra,Saxicola rubetra,Aves,Passeriformes,Muscicapidae,16.6,FALSE
Saxicola torquatus,Saxicola torquatus,Aves,Passeriformes,Muscicapidae,14.09,FALSE
Oriolus oriolus,Oriolus oriolus,Aves,Passeriformes,Oriolidae,79,FALSE
Parus ater,Periparus ater,Aves,Passeriformes,Paridae,9.2,FALSE
Parus caeruleus,Cyanistes caeruleus,Aves,Passeriformes,Paridae,13.3,FALSE
Parus cristatus,Lophophanes cristatus,Aves,Passeriformes,Paridae,11.04,FALSE
Parus major,Parus major,Aves,Passeriformes,Paridae,16.25,FALSE
Parus montanus,Parus montanus,Aves,Passeriformes,Paridae,11.1,FALSE
Parus palustris,Poecile palustris,Aves,Passeriformes,Paridae,11.14,FALSE
Passer domesticus,Passer domesticus,Aves,Passeriformes,Passeridae,26.51,FALSE
Passer montanus,Passer montanus,Aves,Passeriformes,Passeridae,21.39,FALSE
Prunella modularis,Prunella modularis,Aves,Passeriformes,Prunellidae,20.24,FALSE
Regulus ignicapilla,Regulus ignicapilla,Aves,Passeriformes,Regulidae,5.6,FALSE
Regulus regulus,Regulus regulus,Aves,Passeriformes,Regulidae,5.54,FALSE
Sitta europaea,Sitta europaea,Aves,Passeriformes,Sittidae,20.37,FALSE
Sturnus vulgaris,Sturnus vulgaris,Aves,Passeriformes,Sturnidae,77.14,FALSE
Acrocephalus arundinaceus,Acrocephalus arundinaceus,Aves,Passeriformes,Acrocephalidae,30,FALSE
Acrocephalus palustris,Acrocephalus palustris,Aves,Passeriformes,Acrocephalidae,11.5,FALSE
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Aves,Passeriformes,Acrocephalidae,11.83,FALSE
Acrocephalus scirpaceus,Acrocephalus scirpaceus,Aves,Passeriformes,Acrocephalidae,12.3,FALSE
Cettia cetti,Cettia cetti,Aves,Passeriformes,Cettiidae,13.22,FALSE
Hippolais icterina,Hippolais icterina,Aves,Passeriformes,Acrocephalidae,13.2,FALSE
Hippolais polyglotta,Hippolais polyglotta,Aves,Passeriformes,Acrocephalidae,11,FALSE
Locustella fluviatilis,Locustella fluviatilis,Aves,Passeriformes,Locustellidae,16.1,FALSE
Locustella naevia,Locustella naevia,Aves,Passeriformes,Locustellidae,13.3,FALSE
Phylloscopus bonelli,Phylloscopus bonelli,Aves,Passeriformes,Phylloscopidae,8.69,FALSE
Phylloscopus collybita,Phylloscopus collybita,Aves,Passeriformes,Phylloscopidae,8.3,FALSE
Phylloscopus sibilatrix,Phylloscopus sibillatrix,Aves,Passeriformes,Phylloscopidae,9.2,FALSE
Phylloscopus trochiloides,Phylloscopus trochiloides,Aves,Passeriformes,Phylloscopidae,8.05,FALSE
Phylloscopus trochilus,Phylloscopus trochilus,Aves,Passeriformes,Phylloscopidae,8.7,FALSE
Sylvia atricapilla,Sylvia atricapilla,Aves,Passeriformes,Sylviidae,16.7,FALSE
Sylvia borin,Sylvia borin,Aves,Passeriformes,Sylviidae,18.2,FALSE
Sylvia cantillans,Sylvia cantillans,Aves,Passeriformes,Sylviidae,9.6,FALSE
Sylvia communis,Sylvia communis,Aves,Passeriformes,Sylviidae,15.1,FALSE
Sylvia conspicillata,Sylvia conspicillata,Aves,Passeriformes,Sylviidae,9,FALSE
Sylvia curruca,Sylvia curruca,Aves,Passeriformes,Sylviidae,11.44,FALSE
Sylvia hortensis,Sylvia hortensis,Aves,Passeriformes,Sylviidae,21.9,FALSE
Sylvia melanocephala,Sylvia melanocephala,Aves,Passeriformes,Sylviidae,11.7,FALSE
Sylvia sarda,Sylvia sarda,Aves,Passeriformes,Sylviidae,9.8,FALSE
Sylvia undata,Sylvia undata,Aves,Passeriformes,Sylviidae,10.8,FALSE
Troglodytes troglodytes,Troglodytes troglodytes,Aves,Passeriformes,Troglodytidae,9.74,FALSE
Turdus iliacus,Turdus iliacus,Aves,Passeriformes,Turdidae,61.2,FALSE
Turdus merula,Turdus merula,Aves,Passeriformes,Turdidae,102.73,FALSE
Turdus philomelos,Turdus philomelos,Aves,Passeriformes,Turdidae,67.74,FALSE
Turdus pilaris,Turdus pilaris,Aves,Passeriformes,Turdidae,106,FALSE
Turdus viscivorus,Turdus viscivorus,Aves,Passeriformes,Turdidae,117.37,FALSE
Ardea cinerea,Ardea cinerea,Aves,Pelecaniformes,Ardeidae,1443,FALSE
Botaurus stellaris,Botaurus stellaris,Aves,Pelecaniformes,Ardeidae,1319.45,FALSE
Bubulcus ibis,Bubulcus ibis,Aves,Pelecaniformes,Ardeidae,365.95,FALSE
Ixobrychus minutus,Ixobrychus minutus,Aves,Pelecaniformes,Ardeidae,99.49,FALSE
Dendrocopos leucotos,Dendrocopos leucotos,Aves,Piciformes,Picidae,116.8,FALSE
Dendrocopos major,Dendrocopos major,Aves,Piciformes,Picidae,74.94,FALSE
Dendrocopos medius,Dendrocoptes medius,Aves,Piciformes,Picidae,59,FALSE
Dendrocopos minor,Dryobates minor,Aves,Piciformes,Picidae,19.8,FALSE
Dryocopus martius,Dryocopus martius,Aves,Piciformes,Picidae,321,FALSE
Jynx torquilla,Jynx torquilla,Aves,Piciformes,Picidae,34.96,FALSE
Picoides tridactylus,Picoides tridactylus,Aves,Piciformes,Picidae,65.49,FALSE
Picus canus,Picus canus,Aves,Piciformes,Picidae,137,FALSE
Picus viridis,Picus viridis,Aves,Piciformes,Picidae,176,FALSE
Podiceps cristatus,Podiceps cristatus,Aves,Podicipediformes,Podicipedidae,730.96,FALSE
Podiceps grisegena,Podiceps grisegena,Aves,Podicipediformes,Podicipedidae,1023,FALSE
Podiceps nigricollis,Podiceps nigricollis,Aves,Podicipediformes,Podicipedidae,412.44,FALSE
Tachybaptus ruficollis,Tachybaptus ruficollis,Aves,Podicipediformes,Podicipedidae,169.43,FALSE
Asio otus,Asio otus,Aves,Strigiformes,Strigidae,296.57,FALSE
Glaucidium passerinum,Glaucidium passerinum,Aves,Strigiformes,Strigidae,57.87,FALSE
Strix aluco,Strix aluco,Aves,Strigiformes,Strigidae,472.46,FALSE
Martes martes,Martes martes,Mammalia,Carnivora,Mustelidae,1300,FALSE
Meles meles,Meles meles,Mammalia,Carnivora,Mustelidae,13000,FALSE
Ovis musimon,Ovis aries,Mammalia,Artiodactyla,Bovidae,336.9187249738428,TRUE
Rupicapra pyrenaica,Rupicapra pyrenaica,Mammalia,Artiodactyla,Bovidae,30000,FALSE
Tragelaphus imberbis,Tragelaphus imberbis,Mammalia,Artiodactyla,Bovidae,81575.55,FALSE
Capreolus capreolus,Capreolus capreolus,Mammalia,Artiodactyla,Cervidae,22500,FALSE
Cervus elaphus,Cervus elaphus,Mammalia,Artiodactyla,Cervidae,165015.85,FALSE
Dama dama,Dama dama,Mammalia,Artiodactyla,Cervidae,52375,FALSE
Sus scrofa,Sus scrofa,Mammalia,Artiodactyla,Suidae,96118.09,FALSE
Erinaceus europaeus,Erinaceus europaeus,Mammalia,Erinaceomorpha,Erinaceidae,771,FALSE
Neomys fodiens,Neomys fodiens,Mammalia,Soricomorpha,Soricidae,14.3,FALSE
Sorex araneus,Sorex araneus,Mammalia,Soricomorpha,Soricidae,10,FALSE
Talpa europaea,Talpa europaea,Mammalia,Soricomorpha,Talpidae,77,FALSE
Lepus timidus,Lepus timidus,Mammalia,Lagomorpha,Leporidae,3048,FALSE
Oryctolagus cuniculus,Oryctolagus cuniculus,Mammalia,Lagomorpha,Leporidae,1832.22,FALSE
Myodes glareolus,Myodes glareolus,Mammalia,Rodentia,Cricetidae,20.73,FALSE
Eliomys quercinus,Eliomys quercinus,Mammalia,Rodentia,Gliridae,115,FALSE
Glis glis,Glis glis,Mammalia,Rodentia,Gliridae,128.09,FALSE
Apodemus flavicollis,Apodemus flavicollis,Mammalia,Rodentia,Muridae,26.7,FALSE
Apodemus sylvaticus,Apodemus sylvaticus,Mammalia,Rodentia,Muridae,30.45,FALSE
Rattus rattus,Rattus rattus,Mammalia,Rodentia,Muridae,229.13,FALSE
Sciurus vulgaris,Sciurus vulgaris,Mammalia,Rodentia,Sciuridae,333,FALSE
Anguis fragilis,Anguis fragilis,Reptilia,Squamata,Anguidae,79.7587839791403,FALSE
Hierophis viridiflavus,Hierophis viridiflavus,Reptilia,Squamata,Colubridae,386.5989195974214,FALSE
Cyrtopodion kotschyi,Mediodactylus kotschyi,Reptilia,Squamata,Gekkonidae,160.66670545516317,TRUE
Algyroides fitzingeri,Algyroides fitzingeri,Reptilia,Squamata,Lacertidae,2.165858740065513,FALSE
Algyroides marchi,Algyroides marchi,Reptilia,Squamata,Lacertidae,3.5102503473947717,FALSE
Algyroides moreoticus,Algyroides moreoticus,Reptilia,Squamata,Lacertidae,2.955700894334359,FALSE
Archaeolacerta bedriagae,Archaeolacerta bedriagae,Reptilia,Squamata,Lacertidae,13.66306621338215,FALSE
Iberolacerta monticola,Iberolacerta monticola,Reptilia,Squamata,Lacertidae,13.953075397121529,FALSE
Lacerta agilis,Lacerta agilis,Reptilia,Squamata,Lacertidae,33.64544029558697,FALSE
Lacerta viridis,Lacerta viridis,Reptilia,Squamata,Lacertidae,91.48672243051588,FALSE
Podarcis bocagei,Podarcis bocagei,Reptilia,Squamata,Lacertidae,7.9778215193254525,FALSE
Podarcis gaigeae,Podarcis gaigeae,Reptilia,Squamata,Lacertidae,22.8559880337543,FALSE
Podarcis lilfordi,Podarcis lilfordi,Reptilia,Squamata,Lacertidae,12.272676623188719,FALSE
Podarcis muralis,Podarcis muralis,Reptilia,Squamata,Lacertidae,10.979212049317777,FALSE
Podarcis raffoneae,Podarcis raffonei,Reptilia,Squamata,Lacertidae,14.14865803294883,FALSE
Podarcis sicula,Podarcis siculus,Reptilia,Squamata,Lacertidae,13.96486424292999,TRUE
Podarcis tauricus,Podarcis tauricus,Reptilia,Squamata,Lacertidae,17.303388110374065,FALSE
Zootoca vivipara,Zootoca vivipara,Reptilia,Squamata,Lacertidae,10.569005648370158,FALSE
Vipera berus,Vipera berus,Reptilia,Squamata,Viperidae,227.40180941176752,FALSE
Testudo hermanni,Testudo hermanni,Reptilia,Testudines,Testudinidae,7363.232450976826,FALSE
Alytes cisternasii,Alytes cisternasii,Amphibia,Anura,Alytidae,5.02,FALSE
Alytes dickhilleni,Alytes dickhilleni,Amphibia,Anura,Alytidae,25.94617074330896,TRUE
Alytes muletensis,Alytes muletensis,Amphibia,Anura,Alytidae,2.31,FALSE
Alytes obstetricans,Alytes obstetricans,Amphibia,Anura,Alytidae,11.7,FALSE
Anaxyrus americanus,Anaxyrus americanus,Amphibia,Anura,Bufonidae,60,FALSE
Speleomantes genei,Speleomantes genei,Amphibia,Caudata,Plethodontidae,3.92,FALSE
Bombina bombina,Bombina bombina,Amphibia,Anura,Bombinatoridae,3.07,FALSE
Bombina pachypus,Bombina pachypus,Amphibia,Anura,Bombinatoridae,474.5395665027233,TRUE
Bombina variegata,Bombina variegata,Amphibia,Anura,Bombinatoridae,6.32,FALSE
Bufo bufo,Bufo bufo,Amphibia,Anura,Bufonidae,76.54,FALSE
Sclerophrys mauritanica,Sclerophrys mauritanica,Amphibia,Anura,Bufonidae,2.505845889832478,TRUE
Calotriton arnoldi,Calotriton arnoldi,Amphibia,Caudata,Salamandridae,23.81125042283412,TRUE
Calotriton asper,Calotriton asper,Amphibia,Caudata,Salamandridae,6.62,FALSE
Chioglossa lusitanica,Chioglossa lusitanica,Amphibia,Caudata,Salamandridae,2,FALSE
Discoglossus galganoi,Discoglossus galganoi,Amphibia,Anura,Alytidae,18.5,FALSE
Discoglossus jeanneae,Discoglossus jeanneae,Amphibia,Anura,Alytidae,65.12821566537488,TRUE
Discoglossus montalentii,Discoglossus montalentii,Amphibia,Anura,Alytidae,14.259734903585528,TRUE
Discoglossus pictus,Discoglossus pictus,Amphibia,Anura,Alytidae,15.85,FALSE
Discoglossus sardus,Discoglossus sardus,Amphibia,Anura,Alytidae,18.794464305820124,TRUE
Epidalea calamita,Epidalea calamita,Amphibia,Anura,Bufonidae,50.22,FALSE
Euproctus montanus,Euproctus montanus,Amphibia,Caudata,Salamandridae,2.5,FALSE
Euproctus platycephalus,Euproctus platycephalus,Amphibia,Caudata,Salamandridae,4,FALSE
Hyla arborea,Hyla arborea,Amphibia,Anura,Hylidae,6.04,FALSE
Hyla intermedia,Hyla intermedia,Amphibia,Anura,Hylidae,6.28,FALSE
Hyla meridionalis,Hyla meridionalis,Amphibia,Anura,Hylidae,3.11,FALSE
Hyla sarda,Hyla sarda,Amphibia,Anura,Hylidae,3.18,FALSE
Lissotriton boscai,Lissotriton boscai,Amphibia,Caudata,Salamandridae,1.77,FALSE
Lissotriton helveticus,Lissotriton helveticus,Amphibia,Caudata,Salamandridae,1.3,FALSE
Lissotriton italicus,Lissotriton italicus,Amphibia,Caudata,Salamandridae,0.98,FALSE
Lissotriton montandoni,Lissotriton montandoni,Amphibia,Caudata,Salamandridae,2.15,FALSE
Lissotriton vulgaris,Lissotriton vulgaris,Amphibia,Caudata,Salamandridae,2.68,FALSE
Lithobates catesbeianus,Lithobates catesbeianus,Amphibia,Anura,Ranidae,307.23,FALSE
Lithobates sylvaticus,Lithobates sylvaticus,Amphibia,Anura,Ranidae,14.4,FALSE
Lyciasalamandra helverseni,Lyciasalamandra helverseni,Amphibia,Caudata,Salamandridae,312.3778068252914,TRUE
Lyciasalamandra luschani,Lyciasalamandra luschani,Amphibia,Caudata,Salamandridae,2,FALSE
Ichthyosaura alpestris,Ichthyosaura alpestris,Amphibia,Caudata,Salamandridae,2.96,FALSE
Pelobates cultripes,Pelobates cultripes,Amphibia,Anura,Pelobatidae,21.6,FALSE
Pelobates fuscus,Pelobates fuscus,Amphibia,Anura,Pelobatidae,21.3,FALSE
Pelobates syriacus,Pelobates syriacus,Amphibia,Anura,Pelobatidae,0.1055372369821493,TRUE
Pelodytes ibericus,Pelodytes ibericus,Amphibia,Anura,Pelodytidae,3.98,FALSE
Pelodytes punctatus,Pelodytes punctatus,Amphibia,Anura,Pelodytidae,3.03,FALSE
Pelophylax bedriagae,Pelophylax bedriagae,Amphibia,Anura,Ranidae,114.80586424590774,TRUE
Pelophylax bergeri,Pelophylax bergeri,Amphibia,Anura,Ranidae,1596.5605822215296,TRUE
Pelophylax cerigensis,Pelophylax cerigensis,Amphibia,Anura,Ranidae,9.777271858799088,TRUE
Pelophylax cretensis,Pelophylax cretensis,Amphibia,Anura,Ranidae,59.96936041657577,TRUE
Pelophylax epeiroticus,Pelophylax epeiroticus,Amphibia,Anura,Ranidae,48.8,FALSE
Pelophylax lessonae,Pelophylax lessonae,Amphibia,Anura,Ranidae,36.9,FALSE
Pelophylax lessonae,Pelophylax lessonae,Amphibia,Anura,Ranidae,36.9,FALSE
Pelophylax lessonae,Pelophylax lessonae,Amphibia,Anura,Ranidae,30.8,FALSE
Pelophylax lessonae,Pelophylax lessonae,Amphibia,Anura,Ranidae,30.8,FALSE
Pelophylax kurtmuelleri,Pelophylax kurtmuelleri,Amphibia,Anura,Ranidae,158.78039925667662,TRUE
Pelophylax perezi,Pelophylax perezi,Amphibia,Anura,Ranidae,21.56,FALSE
Pelophylax ridibundus,Pelophylax ridibundus,Amphibia,Anura,Ranidae,35.53,FALSE
Pelophylax shqipericus,Pelophylax shqipericus,Amphibia,Anura,Ranidae,90.13138704790941,TRUE
Pleurodeles waltl,Pleurodeles waltl,Amphibia,Caudata,Salamandridae,25.2,FALSE
Proteus anguinus,Proteus anguinus,Amphibia,Caudata,Proteidae,13.2,FALSE
Bufotes viridis,Bufotes viridis,Amphibia,Anura,Bufonidae,33.18,FALSE
Rana arvalis,Rana arvalis,Amphibia,Anura,Ranidae,10.8,FALSE
Rana dalmatina,Rana dalmatina,Amphibia,Anura,Ranidae,20.99,FALSE
Rana graeca,Rana graeca,Amphibia,Anura,Ranidae,23.244557921747024,TRUE
