Species,Order,Family,id
Ophisops elegans,Squamata,Lacertidae,R158
Iranolacerta brandtii,Squamata,Lacertidae,R164
Podarcis liolepis,Squamata,Lacertidae,R165
Podarcis bocagei,Squamata,Lacertidae,R166
Podarcis carbonelli,Squamata,Lacertidae,R167
Podarcis erhardii,Squamata,Lacertidae,R168
Podarcis filfolensis,Squamata,Lacertidae,R169
Podarcis gaigeae,Squamata,Lacertidae,R170
Podarcis hispanicus,Squamata,Lacertidae,R171
Podarcis lilfordi,Squamata,Lacertidae,R172
Podarcis melisellensis,Squamata,Lacertidae,R173
Podarcis milensis,Squamata,Lacertidae,R174
Podarcis muralis,Squamata,Lacertidae,R175
Podarcis peloponnesiacus,Squamata,Lacertidae,R176
Podarcis pityusensis,Squamata,Lacertidae,R177
Podarcis raffoneae,Squamata,Lacertidae,R178
Podarcis sicula,Squamata,Lacertidae,R179
Podarcis tauricus,Squamata,Lacertidae,R180
Podarcis tiliguerta,Squamata,Lacertidae,R181
Podarcis vaucheri,Squamata,Lacertidae,R182
Podarcis waglerianus,Squamata,Lacertidae,R183
Psammodromus manuelae,Squamata,Lacertidae,R184
Psammodromus hispanicus,Squamata,Lacertidae,R185
Pseudopus apodus,Squamata,Anguidae,R186
Darevskia chlorogaster,Squamata,Lacertidae,R188
Tarentola angustimentalis,Squamata,Phyllodactylidae,R189
Tarentola bischoffi,Squamata,Phyllodactylidae,R190
Tarentola boettgeri,Squamata,Phyllodactylidae,R191
Tarentola delalandii,Squamata,Phyllodactylidae,R192
Tarentola gomerensis,Squamata,Phyllodactylidae,R193
Tarentola mauritanica,Squamata,Phyllodactylidae,R194
Stenodactylus grandiceps,Squamata,Gekkonidae,R228
Acanthodactylus boskianus,Squamata,Lacertidae,R229
Eublepharis angramainyu,Squamata,Eublepharidae,R235
Trachylepis septemtaeniata,Squamata,Scincidae,R236
Acanthodactylus harranensis,Squamata,Lacertidae,R237
Acanthodactylus grandis,Squamata,Lacertidae,R238
Eremias persica,Squamata,Lacertidae,R239
Mesalina brevirostris,Squamata,Lacertidae,R245
Psammodromus jeanneae,Squamata,Lacertidae,R253
Nycticorax nycticorax,Pelecaniformes,Ardeidae,B36
Ixobrychus minutus,Pelecaniformes,Ardeidae,B37
Botaurus stellaris,Pelecaniformes,Ardeidae,B38
Ciconia nigra,Ciconiiformes,Ciconiidae,B39
Salamandra atra,Caudata,Salamandridae,A67
Salamandra corsica,Caudata,Salamandridae,A68
Salamandra infraimmaculata,Caudata,Salamandridae,A69
Salamandra lanzai,Caudata,Salamandridae,A70
Salamandra salamandra,Caudata,Salamandridae,A71
Chamaeleo chamaeleon,Squamata,Chamaeleonidae,R27
Coronella austriaca,Squamata,Colubridae,R28
Coronella girondica,Squamata,Colubridae,R29
Eirenis aurolineatus,Squamata,Colubridae,R59
Eirenis barani,Squamata,Colubridae,R60
Platyceps collaris,Squamata,Colubridae,R61
Eirenis coronella,Squamata,Colubridae,R62
Eirenis decemlineatus,Squamata,Colubridae,R63
Eirenis eiselti,Squamata,Colubridae,R64
Eirenis hakkariensis,Squamata,Colubridae,R65
Eirenis levantinus,Squamata,Colubridae,R66
Eirenis lineomaculatus,Squamata,Colubridae,R67
Eirenis modestus,Squamata,Colubridae,R68
Eirenis punctatolineatus,Squamata,Colubridae,R69
Eirenis rothii,Squamata,Colubridae,R70
Eirenis thospitis,Squamata,Colubridae,R71
Elaphe dione,Squamata,Colubridae,R72
Eirenis medus,Squamata,Colubridae,R73
Zamenis hohenackeri,Squamata,Colubridae,R74
Zamenis lineatus,Squamata,Colubridae,R75
Zamenis longissimus,Squamata,Colubridae,R76
Elaphe quatuorlineata,Squamata,Colubridae,R77
Zamenis scalaris,Squamata,Colubridae,R78
Zamenis situla,Squamata,Colubridae,R79
Gallotia atlantica,Squamata,Lacertidae,R92
Gallotia auaritae,Squamata,Lacertidae,R93
Gallotia bravoana,Squamata,Lacertidae,R94
Gallotia caesaris,Squamata,Lacertidae,R95
Gallotia galloti,Squamata,Lacertidae,R96
Gallotia intermedia,Squamata,Lacertidae,R97
Gallotia simonyi,Squamata,Lacertidae,R98
Gallotia stehlini,Squamata,Lacertidae,R99
Hemorrhois hippocrepis,Squamata,Colubridae,R103
Dolichophis cypriensis,Squamata,Colubridae,R104
Hierophis gemonensis,Squamata,Colubridae,R105
