Species,Order,Family,id
Prunella atrogularis,Passeriformes,Prunellidae,B331
Prunella modularis,Passeriformes,Prunellidae,B332
Muscicapa striata,Passeriformes,Muscicapidae,B386
Ficedula hypoleuca,Passeriformes,Muscicapidae,B387
Ficedula albicollis,Passeriformes,Muscicapidae,B388
Ficedula semitorquata,Passeriformes,Muscicapidae,B389
Ficedula parva,Passeriformes,Muscicapidae,B390
Erithacus rubecula,Passeriformes,Muscicapidae,B391
Luscinia luscinia,Passeriformes,Muscicapidae,B392
Luscinia megarhynchos,Passeriformes,Muscicapidae,B393
Luscinia calliope,Passeriformes,Muscicapidae,B394
Luscinia svecica,Passeriformes,Muscicapidae,B395
Tarsiger cyanurus,Passeriformes,Muscicapidae,B396
Irania gutturalis,Passeriformes,Muscicapidae,B397
Erythropygia galactotes,Passeriformes,Muscicapidae,B398
Oenanthe leucura,Passeriformes,Muscicapidae,B403
Oenanthe oenanthe,Passeriformes,Muscicapidae,B404
Oenanthe finschii,Passeriformes,Muscicapidae,B405
