Species_original,Adult.body.mass,Body.mass.in.juveniles,Snout.to.vent.length.in.males,Snout.to.vent.length.in.females,Adult.snout.to.vent.length,Total.length.in.males,Total.lenght.in.females,Adult.total.length,Carnivorous,Insectivorous,Moluscivorous,Cannibalism,Herbivorous,Detritivorous,Species,plant,animal,diet.eamphib,Body_mass_g
Pelophylax esculentus,36.9,1.3,79.71,97.88,88.79,NA,NA,88.79,1,1,1,0,0,0,Pelophylax lessonae,0,3,carnivore,36.9
Pelophylax grafi,NA,NA,NA,NA,92.5,NA,NA,92.5,0,1,0,0,0,0,NA,0,1,carnivore,57.95715892
Pelophylax hispanicus,NA,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0,0,NA,73.79042301
Pelophylax kurtmuelleri,NA,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,Pelophylax kurtmuelleri,0,0,NA,73.79042301
Pelophylax lessonae,30.8,1.34,54.45,60.25,57.35,NA,NA,57.35,1,1,1,0,0,0,Pelophylax lessonae,0,3,carnivore,30.8
Pelophylax perezi,21.56,NA,50.33,61.6,55.96,52,65.6,55.96,1,1,1,0,0,0,Pelophylax perezi,0,3,carnivore,21.56
Pelophylax ridibundus,35.53,NA,72.24,87.88,80.06,NA,NA,80.06,1,1,1,1,0,0,Pelophylax ridibundus,0,4,carnivore,35.53
Pelophylax shqipericus,NA,NA,70.6,73.8,72.2,70.6,73.8,72.2,NA,NA,NA,NA,NA,NA,Pelophylax shqipericus,0,0,NA,26.89974965
Pleurodeles waltl,25.2,NA,87.4,82.25,84.83,78.22,142,218.3,1,1,1,0,0,0,Pleurodeles waltl,0,3,carnivore,25.2
Proteus anguinus,13.2,3.65,NA,NA,169.9,NA,NA,257,1,1,1,0,0,0,Proteus anguinus,0,3,carnivore,13.2
Pseudepidalea viridis,33.18,NA,69.95,78.77,74.36,NA,NA,74.36,1,1,1,1,0,0,Bufotes viridis,0,4,carnivore,33.18
Rana arvalis,10.8,3.16,57.89,56.48,NA,NA,NA,57.19,1,1,1,0,0,0,Rana arvalis,0,3,carnivore,10.8
Rana dalmatina,20.99,0.43,49.17,64.57,56.87,55.65,64.9,56.87,1,1,1,0,0,0,Rana dalmatina,0,3,carnivore,20.99
Rana graeca,NA,NA,51.75,58,54.88,NA,NA,54.88,1,1,1,0,0,0,Rana graeca,0,3,carnivore,11.50018668
Rana iberica,6.03,NA,37.71,45.09,41.4,39.13,46.14,41.4,1,1,1,0,0,0,Rana iberica,0,3,carnivore,6.03
Rana italica,NA,NA,NA,NA,60,NA,NA,60,NA,NA,NA,NA,NA,NA,Rana italica,0,0,NA,15.1604668
Rana latastei,NA,NA,42.42,45.44,43.93,NA,NA,43.93,NA,NA,NA,NA,NA,NA,Rana latastei,0,0,NA,5.77130741
Rana pyrenaica,NA,NA,38.5,43,40.75,NA,NA,40.75,1,1,1,0,0,0,Rana pyrenaica,0,3,carnivore,4.572727751
Rana temporaria,42.24,0.43,69.45,70.83,70.14,67.57,72.39,70.14,1,1,1,0,0,0,Rana temporaria,0,3,carnivore,42.24
Salamandra algira,NA,NA,NA,NA,80.2,NA,NA,188.75,NA,NA,NA,NA,NA,NA,Salamandra algira,0,0,NA,37.25050741
Salamandra atra,8.2,NA,66.95,71.23,69.09,144,151,115.15,NA,NA,NA,NA,NA,NA,Salamandra atra,0,0,NA,8.2
Salamandra corsica,NA,NA,NA,NA,NA,180,190,200,1,1,1,0,0,0,Salamandra corsica,0,3,carnivore,NA
Salamandra lanzai,12.2,4.8,82.55,83.68,83.11,NA,NA,138,1,1,1,0,0,0,Salamandra lanzai,0,3,carnivore,12.2
Salamandra salamandra,35.23,1.16,129.75,155.25,142.5,NA,NA,175.25,NA,NA,NA,NA,NA,NA,Salamandra salamandra,0,0,NA,35.23
Salamandrina perspicillata,NA,NA,31,40.33,35.66,NA,NA,92.95,NA,NA,NA,NA,NA,NA,Salamandrina perspicillata,0,0,NA,3.024529242
Salamandrina terdigitata,NA,NA,NA,NA,33.31,90,110,94,NA,NA,NA,NA,NA,NA,Salamandrina terdigitata,0,0,NA,2.448703557
Speleomantes ambrosii,2.26,NA,53.31,55.93,54.62,NA,NA,125,1,1,1,1,0,0,Speleomantes ambrosii,0,4,carnivore,2.26
Speleomantes flavus,NA,NA,60,63.92,61.96,NA,NA,112.5,1,1,1,1,0,0,Speleomantes flavus,0,4,carnivore,16.74793032
Speleomantes imperialis,3.92,NA,60.85,62.16,61.51,NA,NA,121.61,1,1,1,1,0,0,Speleomantes imperialis,0,4,carnivore,3.92
Speleomantes italicus,2.88,NA,52.2,56.23,54.22,NA,NA,94.61,1,1,1,1,0,0,Speleomantes italicus,0,4,carnivore,2.88
Speleomantes sarrabusensis,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,Speleomantes sarrabusensis,0,4,carnivore,NA
Speleomantes strinatii,NA,NA,58.48,63.59,61.03,115,125,119.5,1,1,1,1,0,0,Speleomantes strinatii,0,4,carnivore,15.98134622
Speleomantes supramontis,5.08,NA,60.47,63.6,62.04,NA,NA,116.59,1,1,1,1,0,0,Speleomantes supramontis,0,4,carnivore,5.08
Triturus carnifex,8.84,NA,70.19,72.28,71.24,NA,NA,144.42,1,1,1,1,0,0,Triturus carnifex,0,4,carnivore,8.84
Triturus cristatus,7.34,4.8,64.33,69.28,66.81,140,180,140.05,1,1,1,1,0,0,Triturus cristatus,0,4,carnivore,7.34
Triturus dobrogicus,4.7,NA,62.99,66.69,64.84,120,130,132.08,NA,NA,NA,NA,NA,NA,Triturus dobrogicus,0,0,NA,4.7
Triturus karelinii,NA,NA,68.84,71.12,69.98,109.21,122.33,136.89,1,1,1,0,0,0,Triturus karelinii,0,3,carnivore,24.4190779
Triturus marmoratus,8.91,NA,65.74,72.43,69.08,132,146,138.3,1,1,1,0,0,0,Triturus marmoratus,0,3,carnivore,8.91
Triturus pygmaeus,2.94,NA,49.49,43.9,46.7,NA,NA,101.07,1,1,1,1,0,0,Triturus pygmaeus,0,4,carnivore,2.94
Xenopus laevis,76.21,NA,62.49,73.3,67.9,59.9,63.3,67.9,1,1,1,1,0,0,Xenopus laevis,0,4,carnivore,76.21
