MSW3_ID,Scientific,MSWFamilyLatin,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value.g,BodyMass.Source,BodyMass.SpecLevel,Species,plant,animal,diet.elton
5031,Ursus arctos,Ursidae,10,10,0,0,0,0,20,0,0,60,Ref_1,ABC,G,A,,0,1,1,Ref_1,ABC,180520.42,Ref_117,1,Ursus arctos,80,20,omnivore
5032,Ursus maritimus,Ursidae,0,90,0,10,0,0,0,0,0,0,Ref_1,ABC,G,A,,0,1,1,Ref_1,ABC,388750.36,Ref_117,1,Ursus maritimus,0,100,carnivore
5033,Ursus thibetanus,Ursidae,10,10,0,0,0,10,40,0,0,30,Ref_1,ABC,G,A,,0,1,1,Ref_1,ABC,77500,Ref_117,1,Ursus thibetanus,70,30,omnivore
5034,Arctocephalus philippii,Otariidae,50,0,0,50,0,0,0,0,0,0,Ref_1,ABC,M,A,,1,0,0,Ref_115,ABC,95000,Ref_117,1,Arctocephalus philippii,0,100,carnivore
5035,Arctocephalus australis,Otariidae,40,0,0,60,0,0,0,0,0,0,Ref_1,ABC,M,A,,1,0,0,Ref_2,D1,45000,Ref_117,1,Arctocephalus australis,0,100,carnivore
5036,Arctocephalus gazella,Otariidae,80,0,0,20,0,0,0,0,0,0,Ref_1,ABC,M,A,,1,0,0,Ref_115,ABC,97500,Ref_117,1,Arctocephalus gazella,0,100,carnivore
5037,Arctocephalus pusillus,Otariidae,30,0,0,70,0,0,0,0,0,0,Ref_1,ABC,M,A,,1,0,0,Ref_2,D1,178500,Ref_117,1,Arctocephalus pusillus,0,100,carnivore
5038,Arctocephalus townsendi,Otariidae,30,0,0,70,0,0,0,0,0,0,Ref_46,ABC,M,A,,1,0,0,Ref_58,ABC,105000,Ref_117,1,Arctocephalus philippii,0,100,carnivore
5039,Arctocephalus tropicalis,Otariidae,60,0,0,40,0,0,0,0,0,0,Ref_1,ABC,M,A,,1,1,0,Ref_115,ABC,84000,Ref_117,1,Arctocephalus tropicalis,0,100,carnivore
5040,Arctocephalus galapagoensis,Otariidae,50,0,0,50,0,0,0,0,0,0,Ref_1,ABC,M,A,,1,0,0,Ref_115,ABC,27000,Ref_117,1,Arctocephalus galapagoensis,0,100,carnivore
