Species ID;ITIS code;Catalogue of Life;Class;Order;Family;Species;Author
M265;970565;v1.9 rev 2126ab0;Mammalia;Rodentia;Spalacidae;Spalax nehringi;(Satunin, 1898) 
M266;970566;v1.9 rev 2126ab0;Mammalia;Rodentia;Spalacidae;Spalax uralensis;Tiflov and Usov, 1939 
M267;633024;v1.9 rev 2126ab0;Mammalia;Rodentia;Spalacidae;Spalax zemni;(Erxleben, 1777) 
M268;632446;v1.9 rev 2126ab0;Mammalia;Rodentia;Sciuridae;Spermophilus citellus;(Linnaeus, 1766) 
M269;632449;v1.9 rev 2126ab0;Mammalia;Rodentia;Sciuridae;Spermophilus fulvus;(Lichtenstein, 1823) 
M270;632451;v1.9 rev 2126ab0;Mammalia;Rodentia;Sciuridae;Spermophilus major;(Pallas, 1778) 
M271;632452;v1.9 rev 2126ab0;Mammalia;Rodentia;Sciuridae;Spermophilus musicus;Ménétries, 1832 
M272;632454;v1.9 rev 2126ab0;Mammalia;Rodentia;Sciuridae;Spermophilus pygmaeus;(Pallas, 1778) 
M273;632456;v1.9 rev 2126ab0;Mammalia;Rodentia;Sciuridae;Spermophilus suslicus;(Güldenstaedt, 1770) 
M274;930306;v1.9 rev 2126ab0;Mammalia;Rodentia;Sciuridae;Spermophilus taurensis;Gündüz, Jaarola, Tez, Yeniyurt, Polly, and Searle, 2007 
M275;632458;v1.9 rev 2126ab0;Mammalia;Rodentia;Sciuridae;Spermophilus xanthoprymnus;(Bennett, 1835) 
M276;609763;v1.9 rev 2126ab0;Mammalia;Rodentia;Dipodidae;Stylodipus telum;(Lichtenstein, 1823) 
M277;633726;v1.9 rev 2126ab0;Mammalia;Eulipotyphla;Soricidae;Suncus etruscus;(Savi, 1822) 
M278;180722;v1.9 rev 2126ab0;Mammalia;Cetartiodactyla;Suidae;Sus scrofa;Linnaeus, 1758 
M279;632261;v1.9 rev 2126ab0;Mammalia;Chiroptera;Molossidae;Tadarida teniotis;(Rafinesque, 1814) 
M280;633850;v1.9 rev 2126ab0;Mammalia;Eulipotyphla;Talpidae;Talpa caeca;Savi, 1822 
M281;633851;v1.9 rev 2126ab0;Mammalia;Eulipotyphla;Talpidae;Talpa caucasica;Satunin, 1908 
M282;709819;v1.9 rev 2126ab0;Mammalia;Eulipotyphla;Talpidae;Talpa davidiana;(Milne-Edwards, 1884) 
M283;633852;v1.9 rev 2126ab0;Mammalia;Eulipotyphla;Talpidae;Talpa europaea;Linnaeus, 1758 
M284;633853;v1.9 rev 2126ab0;Mammalia;Eulipotyphla;Talpidae;Talpa levantis;Thomas, 1906 
