Species ID;ITIS code;Catalogue of Life;Class;Order;Family;Species;Author
R141;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Trachylepis aurata;(Linnaeus, 1758)
R142;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Trachylepis vittata;(Olivier, 1804)
R143;1082660;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Macroprotodon brevis;(Günther, 1862) 
R144;1082065;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Macroprotodon cucullatus;(Geoffroy de St-Hilaire, 1827) 
R145;634977;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Macrovipera lebetina;(Linnaeus, 1758) 
R146;634979;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Macrovipera schweizeri;(Werner, 1935) 
R147;1082070;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Malpolon monspessulanus;(Hermann, 1804) 
R148;551928;v1.9 rev 2126ab0;Reptilia;Testudines;Geoemydidae;Mauremys caspica;(Gmelin, 1774) 
R149;551931;v1.9 rev 2126ab0;Reptilia;Testudines;Geoemydidae;Mauremys leprosa;(Schweigger, 1812) 
R150;949164;v1.9 rev 2126ab0;Reptilia;Testudines;Geoemydidae;Mauremys rivulata;(Valenciennes in Bory de Saint-Vincent, 1833) 
R151;1058458;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Montivipera raddei;(Boettger, 1890) 
R152;1058461;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Montivipera wagneri;(Nilson and Andrén, 1984) 
R153;1058462;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Montivipera xanthina;(Gray, 1849) 
R154;700797;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Natrix maura;(Linnaeus, 1758) 
R155;700799;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Natrix natrix;(Linnaeus, 1758) 
R156;700800;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Natrix tessellata;(Laurenti, 1768)
R157;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Ophiomorus punctatissimus;(Bibron & Bory De St. Vincent, 1833)
R158;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Ophisops elegans;Ménétries, 1832
R159;1055606;v1.9 rev 2126ab0;Reptilia;Squamata;Agamidae;Phrynocephalus guttatus;(J. F. Gmelin, 1789) 
R160;1055607;v1.9 rev 2126ab0;Reptilia;Squamata;Agamidae;Phrynocephalus helioscopus;(Pallas, 1771) 
R161;1055612;v1.9 rev 2126ab0;Reptilia;Squamata;Agamidae;Phrynocephalus mystaceus;(Pallas, 1776) 
R162;1055614;v1.9 rev 2126ab0;Reptilia;Squamata;Agamidae;Phrynocephalus persicus;de Filippi, 1863 
R163;1081687;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Platyceps najadum;(Eichwald, 1831) 
R164;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Iranolacerta brandtii;(De Filippi, 1863)
R165;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis liolepis;(Boulenger, 1905)
R166;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis bocagei;(Seoane, 1885)
R167;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis carbonelli;Perez Mellado, 1981
R168;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis erhardii;(Bedriaga, 1882)
R169;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis filfolensis;(Bedriaga, 1876)
R170;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis gaigeae;(Werner, 1930)
R171;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis hispanicus;(Steindachner, 1870)
R172;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis lilfordi;(Günther, 1874)
R173;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis melisellensis;(Braun, 1877)
R174;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis milensis;(Bedriaga, 1882)
R175;564582;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis muralis;(Laurenti, 1768) 
R176;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis peloponnesiacus;(Bibron & Bory, 1833)
R177;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis pityusensis;(Boscá, 1883)
R178;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis raffoneae;(Mertens, 1952)
R179;564588;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis sicula;(Rafinesque, 1810) 
R180;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis tauricus;(Pallas, 1814)
R181;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis tiliguerta;(Gmelin, 1789)
R182;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis vaucheri;(Boulenger, 1905)
R183;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Podarcis waglerianus;Gistel, 1868
R184;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Psammodromus manuelae;Busack, Salvador & Lawson, 2006
R185;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Psammodromus hispanicus;Fitzinger, 1826
R186;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Anguidae;Pseudopus apodus;(Pallas, 1775)
R187;551874;v1.9 rev 2126ab0;Reptilia;Testudines;Trionychidae;Rafetus euphraticus;(Daudin, 1801) 
R188;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia chlorogaster;(Boulenger, 1908)
R189;819330;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola angustimentalis;Steindachner, 1891 
R190;819331;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola bischoffi;Joger, 1984 
R191;819333;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola boettgeri;Steindachner, 1891 
R192;819338;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola delalandii;(Duméril and Bibron, 1836) 
R193;819342;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola gomerensis;Joger and Bischoff, 1983 
R194;683045;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Tarentola mauritanica;(Linnaeus, 1758) 
R195;1082410;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Telescopus fallax;(Fleischmann, 1831) 
R196;551865;v1.9 rev 2126ab0;Reptilia;Testudines;Testudinidae;Testudo graeca;Linnaeus, 1758 
R197;551866;v1.9 rev 2126ab0;Reptilia;Testudines;Testudinidae;Testudo hermanni;Gmelin, 1789 
R198;949337;v1.9 rev 2126ab0;Reptilia;Testudines;Emydidae;Emys trinacris;Fritz, Fattizzo, Guicking, Tripepi, Pennisi, Lenk, Joger and Wink, 2005 
R199;551869;v1.9 rev 2126ab0;Reptilia;Testudines;Testudinidae;Testudo marginata;Schoepff, 1793 
R200;1056885;v1.9 rev 2126ab0;Reptilia;Squamata;Agamidae;Trapelus agilis;(Oliver, 1807) 
R201;1056893;v1.9 rev 2126ab0;Reptilia;Squamata;Agamidae;Trapelus lessonae;(Oliver, 1804)
R202;551876;v1.9 rev 2126ab0;Reptilia;Testudines;Trionychidae;Trionyx triunguis;(Forskål, 1775) 
R203;1116234;v1.9 rev 2126ab0;Reptilia;Squamata;Typhlopidae;Xerotyphlops vermicularis;Merrem, 1820 
R204;202167;v1.9 rev 2126ab0;Reptilia;Squamata;Varanidae;Varanus griseus;(Daudin, 1803) 
R205;1058453;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Montivipera albizona;(Nilson, Andrén and Flärdh, 1990) 
R206;634985;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera ammodytes;(Linnaeus, 1758) 
R207;634986;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera aspis;(Linnaeus, 1758) 
R208;634988;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera berus;(Linnaeus, 1758) 
R209;1058554;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Montivipera bulgardaghica;(Nilson and Andrén, 1985) 
R210;634991;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera darevskii;Vedmederya, Orlov and Tuniyev, 1986 
R211;634992;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera dinniki;Nikolsky, 1913 
R212;634993;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera kaznakovi;Nikolsky, 1909 
R213;634994;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera latastei;Bosca, 1878 
R214;1058754;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera berus nikolskii;Vedmederya, Grubant and Rudayewa, 1986 
R215;634999;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera pontica;Billing, Nilson and Sattler, 1990 
R216;1058460;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera transcaucasiana;Boulenger, 1913 
R217;635001;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera seoanei;Lataste, 1879 
R218;635002;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera ursinii;(Bonaparte, 1835) 
R219;1081675;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Dolichophis caspius;(Gmelin, 1789) 
R220;715147;v1.9 rev 2126ab0;Reptilia;Squamata;Chamaeleonidae;Chamaeleo africanus;Laurenti, 1768 
R221;1081683;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Dolichophis jugularis;(Linnaeus, 1758) 
R222;1081688;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hemorrhois nummifer;(Reuss, 1834) 
R223;1081672;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hemorrhois algirus;(Jan, 1863) 
R224;1084222;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hierophis viridiflavus carbonarius;(Bonaparte, 1833)
R225;1081692;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Dolichophis schmidti;(Nikolsky, 1909) 
R226;1082516;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Elaphe sauromates;(Pallas, 1811) 
R227;1058459;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera renardi;(Christoph, 1861) 
R228;819301;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Stenodactylus grandiceps;Haas, 1952 
R229;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Acanthodactylus boskianus;(Daudin, 1802)
R230;1081689;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Hemorrhois ravergieri;(Ménétries, 1832) 
R231;1081698;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Platyceps ventromaculatus;(Gray, 1834) 
R232;1082262;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis persicus;(Anderson, 1872)
R233;1082325;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Rhynchocalamus melanocephalus;(Jan, 1862) 
R234;1082361;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Spalerosophis diadema;(Schlegel, 1837) 
R235;818503;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Eublepharis angramainyu;S.C. Anderson and Leviton, 1966 
R236;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Trachylepis septemtaeniata;(Reuss, 1834)
R237;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Acanthodactylus harranensis;Baran, Kumlutas, Lanza, Sindaco, Avci & Crucitti, 2005
R238;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Acanthodactylus grandis;Boulenger, 1909 
R239;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Eremias persica;Sindaco & Jeremcenko, 2008
R240;1058455;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera eriwanensis;(Reuss, 1933) 
R241;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Zamenis persicus;(Werner, 1913)
R242;634995;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Vipera lotievi;Nilson, Tuniyev, Orlov, Hoggren and Andrén, 1995 
R245;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Mesalina brevirostris;Blanford, 1874
R246;1082413;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Telescopus nigriceps;(Ahl, 1924) 
R247;634982;v1.9 rev 2126ab0;Reptilia;Squamata;Viperidae;Pseudocerastes persicus;(A. M. C. Duméril, Bibron and A. H. A. Duméril, 1854) 
R248;1116130;v1.9 rev 2126ab0;Reptilia;Squamata;Typhlopoidea;Letheobia episcopus;Franzen and Wallach, 2002 
R249;1082868;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Muhtarophis barani;Olgun, Avci, Ilgaz, Üzüm and Yilmaz, 2007 
R251;1082750;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Macroprotodon mauritanicus;Guichenot, 1850 
R252;1082496;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis coronelloides;(Jan, 1862) 
R253;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Psammodromus jeanneae;Busack, Salvador & Lawson, 2006
