Taxon,Binomial,Family,Insular (Y/N),Maximum mass (log10(g)),Appears in fossil record? (Y/N),Reference for body size,Reference for fossil record
Lizards,Cyrtodactylus mimikanus,Gekkonidae,Y,1.315848712,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus minor,Gekkonidae,Y,0.886437956,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus murua,Gekkonidae,Y,1.426970814,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus nebulosus,Gekkonidae,N,0.541432128,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus nepalensis,Gekkonidae,N,0.896390384,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus nigriocularis,Gekkonidae,N,1.367131333,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus novaeguineae,Gekkonidae,Y,1.930788253,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus nuaulu,Gekkonidae,Y,1.132533285,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus oldhami,Gekkonidae,N,0.966955488,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus pageli,Gekkonidae,N,1.140645564,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus pantiensis,Gekkonidae,N,0.970066413,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus papilionoides,Gekkonidae,N,1.193368814,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus papuensis,Gekkonidae,Y,0.845781154,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus paradoxus,Gekkonidae,N,1.071304821,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus payacola,Gekkonidae,N,0.81258755,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus peguensis,Gekkonidae,N,1.085497421,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus philippinicus,Gekkonidae,Y,1.251266727,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus phongnhakebangensis,Gekkonidae,N,1.332039557,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus phuketensis,Gekkonidae,Y,1.444878422,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus phuocbinhensis,Gekkonidae,N,0.675755402,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus phuquocensis,Gekkonidae,Y,1.096731797,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus pronarus,Gekkonidae,N,1.617886926,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus pseudoquadrivirgatus,Gekkonidae,N,1.120261038,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus pubisulcus,Gekkonidae,Y,0.966955488,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus puhuensis,Gekkonidae,N,1.001345251,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus pulchellus,Gekkonidae,N,1.549924594,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus quadrivirgatus,Gekkonidae,N,0.940181647,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus ramboda,Gekkonidae,Y,1.269557789,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus ranongensis,Gekkonidae,N,0.659765022,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus redimiculus,Gekkonidae,Y,1.208744163,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus robustus,Gekkonidae,Y,1.851528974,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus roesleri,Gekkonidae,N,0.940181647,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus rubidus,Gekkonidae,N,1.01279269,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus russelli,Gekkonidae,N,1.458394291,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus sadleiri,Gekkonidae,Y,1.127094451,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus saiyok,Gekkonidae,N,0.687609806,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus salomonensis,Gekkonidae,Y,1.700929034,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus samroiyot,Gekkonidae,N,0.798331682,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus sanook,Gekkonidae,Y,1.005273789,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus semenanjungensis,Gekkonidae,N,0.871352715,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus semiadii,Gekkonidae,Y,0.377479933,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus seribuatensis,Gekkonidae,Y,0.935394173,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus sermowaiensis,Gekkonidae,Y,1.199799182,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus serratus,Gekkonidae,Y,1.84405692,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus sharkari,Gekkonidae,N,1.281598662,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus slowinskii,Gekkonidae,N,1.372696358,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus soba,Gekkonidae,Y,1.34688067,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus spinosus,Gekkonidae,Y,1.059828553,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus stresemanni,Gekkonidae,N,1.22518131,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus subsolanus,Gekkonidae,Y,1.334334794,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus sumonthai,Gekkonidae,N,1.023389177,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus sumuroi,Gekkonidae,Y,1.084085696,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus surin,Gekkonidae,Y,1.018774053,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus sworderi,Gekkonidae,N,1.01429083,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus takouensis,Gekkonidae,N,1.029170187,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus tamaiensis,Gekkonidae,N,1.154045266,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus tautbatorum,Gekkonidae,Y,0.830172334,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus taynguyenensis,Gekkonidae,N,1.085497421,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus tebuensis,Gekkonidae,N,1.072731663,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus teyniei,Gekkonidae,N,1.152712013,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus thirakhupti,Gekkonidae,N,1.01279269,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus thochuensis,Gekkonidae,Y,1.103700211,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus thuongae,Gekkonidae,N,0.976264157,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus tibetanus,Gekkonidae,N,0.503070564,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus tigroides,Gekkonidae,N,1.085497421,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus timur,Gekkonidae,N,1.504037631,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus tiomanensis,Gekkonidae,Y,1.113388464,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus triedrus,Gekkonidae,Y,0.707110411,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus trilatofasciatus,Gekkonidae,N,1.520838428,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus tripartitus,Gekkonidae,Y,1.750560701,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus tuberculatus,Gekkonidae,N,1.683917958,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus variegatus,Gekkonidae,N,0.869664804,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus vilaphongi,Gekkonidae,N,1.100917702,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus wakeorum,Gekkonidae,N,0.74518538,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus wallacei,Gekkonidae,Y,1.433321724,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus wangkulangkulae,Gekkonidae,N,0.917674752,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus wayakonei,Gekkonidae,N,1.187033424,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus wetariensis,Gekkonidae,Y,0.852653728,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus yakhuna,Gekkonidae,Y,0.496171633,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus yangbayensis,Gekkonidae,N,1.184307977,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus yoshii,Gekkonidae,Y,1.321656282,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus zhaoermii,Gekkonidae,N,0.662779504,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus ziegleri,Gekkonidae,N,1.193368814,N,"Feldman et al., 2016",
Lizards,Cyrtodactylus zugi,Gekkonidae,Y,1.836538019,N,"Feldman et al., 2016",
Lizards,Cyrtopodion agamuroides,Gekkonidae,N,0.44913577,N,"Feldman et al., 2016",
Lizards,Cyrtopodion aravallensis,Gekkonidae,N,0.472884284,N,"Feldman et al., 2016",
Lizards,Cyrtopodion baigii,Gekkonidae,N,0.362104584,N,"Feldman et al., 2016",
Lizards,Cyrtopodion battalense,Gekkonidae,N,0.74518538,N,"Feldman et al., 2016",
Lizards,Cyrtopodion belaense,Gekkonidae,N,0.196426301,N,"Feldman et al., 2016",
Lizards,Cyrtopodion brevipes,Gekkonidae,N,0.295830221,N,"Feldman et al., 2016",
Lizards,Cyrtopodion dattanense,Gekkonidae,N,0.707110411,N,"Feldman et al., 2016",
Lizards,Cyrtopodion fortmunroi,Gekkonidae,N,0.44913577,N,"Feldman et al., 2016",
Lizards,Cyrtopodion gastrophole,Gekkonidae,N,0.44913577,N,"Feldman et al., 2016",
Lizards,Cyrtopodion golubevi,Gekkonidae,N,0.647630745,N,"Feldman et al., 2016",
Lizards,Cyrtopodion himalayanum,Gekkonidae,N,0.951278654,N,"Feldman et al., 2016",
Lizards,Cyrtopodion hormozganum,Gekkonidae,N,0.349139476,N,"Feldman et al., 2016",
Lizards,Cyrtopodion indusoani,Gekkonidae,N,0.541432128,N,"Feldman et al., 2016",
Lizards,Cyrtopodion kachhense,Gekkonidae,N,0.519015386,N,"Feldman et al., 2016",
Lizards,Cyrtopodion kiabii,Gekkonidae,N,0.372376688,N,"Feldman et al., 2016",
Lizards,Cyrtopodion kirmanense,Gekkonidae,N,0.472884284,N,"Feldman et al., 2016",
Lizards,Cyrtopodion kohsulaimanai,Gekkonidae,N,0.647630745,N,"Feldman et al., 2016",
Lizards,Cyrtopodion lawderanum,Gekkonidae,N,0.563437531,N,"Feldman et al., 2016",
Lizards,Cyrtopodion medogense,Gekkonidae,N,0.120014424,N,"Feldman et al., 2016",
Lizards,Cyrtopodion montiumsalsorum,Gekkonidae,N,0.380023435,N,"Feldman et al., 2016",
Lizards,Cyrtopodion persepolense,Gekkonidae,N,0.472884284,N,"Feldman et al., 2016",
Lizards,Cyrtopodion potoharense,Gekkonidae,N,0.496171633,N,"Feldman et al., 2016",
Lizards,Cyrtopodion rhodocauda,Gekkonidae,N,0.74518538,N,"Feldman et al., 2016",
Lizards,Cyrtopodion rohtasfortai,Gekkonidae,N,0.519015386,N,"Feldman et al., 2016",
Lizards,Cyrtopodion scabrum,Gekkonidae,N,0.763778943,N,"Feldman et al., 2016",
Lizards,Cyrtopodion sistanense,Gekkonidae,N,0.606272826,N,"Feldman et al., 2016",
Lizards,Cyrtopodion watsoni,Gekkonidae,N,0.541432128,N,"Feldman et al., 2016",
Lizards,Dixonius aaronbaueri,Gekkonidae,N,0.138802183,N,"Feldman et al., 2016",
Lizards,Dixonius hangseesom,Gekkonidae,N,0.243462164,N,"Feldman et al., 2016",
Lizards,Dixonius melanostictus,Gekkonidae,N,0.44913577,N,"Feldman et al., 2016",
Lizards,Dixonius siamensis,Gekkonidae,N,0.606272826,N,"Feldman et al., 2016",
Lizards,Dixonius vietnamensis,Gekkonidae,N,0.362104584,N,"Feldman et al., 2016",
Lizards,Ebenavia inunguis,Gekkonidae,Y,0.240040591,N,"Feldman et al., 2016",
Lizards,Ebenavia maintimainty,Gekkonidae,Y,-0.431084677,N,"Feldman et al., 2016",
Lizards,Elasmodactylus tetensis,Gekkonidae,N,1.2804,N,"Feldman et al., 2016",
Lizards,Elasmodactylus tuberculosus,Gekkonidae,N,0.99770745,N,"Feldman et al., 2016",
Lizards,Geckolepis maculata,Gekkonidae,Y,1.000739716,N,"Feldman et al., 2016",
Lizards,Geckolepis polylepis,Gekkonidae,Y,0.472884284,N,"Feldman et al., 2016",
Lizards,Geckolepis typica,Gekkonidae,Y,0.726298993,N,"Feldman et al., 2016",
Lizards,Gehyra angusticaudata,Gekkonidae,N,0.606272826,N,"Feldman et al., 2016",
Lizards,Gehyra australis,Gekkonidae,N,1.027690531,N,"Feldman et al., 2016",
Lizards,Gehyra baliola,Gekkonidae,Y,1.33891213,N,"Feldman et al., 2016",
Lizards,Gehyra barea,Gekkonidae,Y,1.341194264,N,"Feldman et al., 2016",
Lizards,Gehyra borroloola,Gekkonidae,N,0.835397879,N,"Feldman et al., 2016",
Lizards,Gehyra brevipalmata,Gekkonidae,Y,1.140645564,N,"Feldman et al., 2016",
Lizards,Gehyra butleri,Gekkonidae,N,-0.08607885,N,"Feldman et al., 2016",
Lizards,Gehyra catenata,Gekkonidae,N,0.563437531,N,"Feldman et al., 2016",
Lizards,Gehyra dubia,Gekkonidae,N,1.01279269,N,"Feldman et al., 2016",
Lizards,Gehyra fehlmanni,Gekkonidae,N,0.472884284,N,"Feldman et al., 2016",
Lizards,Gehyra fenestra,Gekkonidae,N,0.667786863,N,"Feldman et al., 2016",
Lizards,Gehyra georgpotthasti,Gekkonidae,Y,1.700929034,N,"Feldman et al., 2016",
Lizards,Gehyra interstitialis,Gekkonidae,Y,1.193368814,N,"Feldman et al., 2016",
Lizards,Gehyra kimberleyi,Gekkonidae,N,0.18152846,N,"Feldman et al., 2016",
Lizards,Gehyra koira,Gekkonidae,N,1.231443783,N,"Feldman et al., 2016",
Lizards,Gehyra lacerata,Gekkonidae,N,0.647630745,N,"Feldman et al., 2016",
Lizards,Gehyra lazelli,Gekkonidae,N,0.647630745,N,"Feldman et al., 2016",
Lizards,Gehyra leopoldi,Gekkonidae,Y,0.295830221,N,"Feldman et al., 2016",
Lizards,Gehyra marginata,Gekkonidae,Y,1.700929034,N,"Feldman et al., 2016",
Lizards,Gehyra membranacruralis,Gekkonidae,Y,1.604232956,N,"Feldman et al., 2016",
Lizards,Gehyra minuta,Gekkonidae,N,0.424907455,N,"Feldman et al., 2016",
Lizards,Gehyra montium,Gekkonidae,N,0.472884284,N,"Feldman et al., 2016",
Lizards,Gehyra moritzi,Gekkonidae,N,0.424907455,N,"Feldman et al., 2016",
Lizards,Gehyra multiporosa,Gekkonidae,N,0.563437531,N,"Feldman et al., 2016",
Lizards,Gehyra mutilata,Gekkonidae,N,0.74518538,N,"Feldman et al., 2016",
Lizards,Gehyra nana,Gekkonidae,N,0.541432128,N,"Feldman et al., 2016",
Lizards,Gehyra occidentalis,Gekkonidae,N,0.951278654,N,"Feldman et al., 2016",
Lizards,Gehyra oceanica,Gekkonidae,Y,1.782542884,N,"Feldman et al., 2016",
Lizards,Gehyra pamela,Gekkonidae,N,0.852653728,N,"Feldman et al., 2016",
Lizards,Gehyra papuana,Gekkonidae,Y,1.266528587,N,"Feldman et al., 2016",
Lizards,Gehyra pilbara,Gekkonidae,N,0.782088624,N,"Feldman et al., 2016",
Lizards,Gehyra pulingka,Gekkonidae,N,0.424907455,N,"Feldman et al., 2016",
Lizards,Gehyra punctata,Gekkonidae,N,0.763778943,N,"Feldman et al., 2016",
Lizards,Gehyra purpurascens,Gekkonidae,N,0.74518538,N,"Feldman et al., 2016",
Lizards,Gehyra robusta,Gekkonidae,N,0.935394173,N,"Feldman et al., 2016",
Lizards,Gehyra serraticauda,Gekkonidae,Y,1.499051093,N,"Feldman et al., 2016",
Lizards,Gehyra spheniscus,Gekkonidae,N,0.349139476,N,"Feldman et al., 2016",
Lizards,Gehyra variegata,Gekkonidae,N,0.869664804,N,"Feldman et al., 2016",
Lizards,Gehyra versicolor,Gekkonidae,N,0.541432128,N,"Feldman et al., 2016",
Lizards,Gehyra vorax,Gekkonidae,Y,2.037459485,N,"Feldman et al., 2016",
Lizards,Gehyra xenopus,Gekkonidae,N,0.99770745,N,"Feldman et al., 2016",
Lizards,Gekko aaronbaueri,Gekkonidae,N,1.01279269,N,"Feldman et al., 2016",
Lizards,Gekko adleri,Gekkonidae,N,0.940181647,N,"Feldman et al., 2016",
Lizards,Gekko albofasciolatus,Gekkonidae,Y,1.880960164,N,"Feldman et al., 2016",
Lizards,Gekko athymus,Gekkonidae,Y,1.499051093,N,"Feldman et al., 2016",
Lizards,Gekko auriverrucosus,Gekkonidae,N,0.835397879,N,"Feldman et al., 2016",
Lizards,Gekko badenii,Gekkonidae,N,1.683917958,N,"Feldman et al., 2016",
Lizards,Gekko canaensis,Gekkonidae,N,1.378235679,N,"Feldman et al., 2016",
Lizards,Gekko canhi,Gekkonidae,N,1.270767331,N,"Feldman et al., 2016",
Lizards,Gekko carusadensis,Gekkonidae,Y,1.246341624,N,"Feldman et al., 2016",
Lizards,Gekko chinensis,Gekkonidae,N,1.01279269,N,"Feldman et al., 2016",
Lizards,Gekko coi,Gekkonidae,Y,1.071304821,N,"Feldman et al., 2016",
Lizards,Gekko crombota,Gekkonidae,Y,1.477878221,N,"Feldman et al., 2016",
Lizards,Gekko ernstkelleri,Gekkonidae,Y,1.181706543,N,"Feldman et al., 2016",
Lizards,Gekko gecko,Gekkonidae,N,2.11166423,N,"Feldman et al., 2016",
Lizards,Gekko gigante,Gekkonidae,Y,1.335480767,N,"Feldman et al., 2016",
Lizards,Gekko grossmanni,Gekkonidae,N,1.154045266,N,"Feldman et al., 2016",
Lizards,Gekko hokouensis,Gekkonidae,N,1.085497421,N,"Feldman et al., 2016",
Lizards,Gekko japonicus,Gekkonidae,N,1.082672306,N,"Feldman et al., 2016",
Lizards,Gekko kikuchii,Gekkonidae,Y,1.01279269,N,"Feldman et al., 2016",
Lizards,Gekko kwangsiensis,Gekkonidae,N,0.847502993,N,"Feldman et al., 2016",
Lizards,Gekko lauhachindai,Gekkonidae,N,1.256171685,N,"Feldman et al., 2016",
Lizards,Gekko melli,Gekkonidae,N,1.07984052,N,"Feldman et al., 2016",
Lizards,Gekko mindorensis,Gekkonidae,Y,1.129816951,N,"Feldman et al., 2016",
Lizards,Gekko monarchus,Gekkonidae,N,1.304148514,N,"Feldman et al., 2016",
Lizards,Gekko nutaphandi,Gekkonidae,N,1.466636666,N,"Feldman et al., 2016",
Lizards,Gekko palawanensis,Gekkonidae,Y,0.776625012,N,"Feldman et al., 2016",
Lizards,Gekko palmatus,Gekkonidae,N,1.008287009,N,"Feldman et al., 2016",
Lizards,Gekko petricolus,Gekkonidae,N,1.292333042,N,"Feldman et al., 2016",
Lizards,Gekko porosus,Gekkonidae,Y,1.240156666,N,"Feldman et al., 2016",
Lizards,Gekko reevesii,Gekkonidae,N,1.937740509,N,"Feldman et al., 2016",
Lizards,Gekko remotus,Gekkonidae,Y,1.473802565,N,"Feldman et al., 2016",
Lizards,Gekko romblon,Gekkonidae,Y,1.143337509,N,"Feldman et al., 2016",
Lizards,Gekko rossi,Gekkonidae,Y,1.374915158,N,"Feldman et al., 2016",
Lizards,Gekko russelltraini,Gekkonidae,N,1.055496481,N,"Feldman et al., 2016",
Lizards,Gekko scabridus,Gekkonidae,N,0.966955488,N,"Feldman et al., 2016",
Lizards,Gekko scientiadventura,Gekkonidae,N,0.902979746,N,"Feldman et al., 2016",
Lizards,Gekko shibatai,Gekkonidae,Y,0.933794091,N,"Feldman et al., 2016",
Lizards,Gekko siamensis,Gekkonidae,N,1.766658403,N,"Feldman et al., 2016",
Lizards,Gekko similignum,Gekkonidae,N,0.645596375,N,"Feldman et al., 2016",
Lizards,Gekko smithii,Gekkonidae,N,2.05644554,N,"Feldman et al., 2016",
Lizards,Gekko subpalmatus,Gekkonidae,N,0.886437956,N,"Feldman et al., 2016",
Lizards,Gekko swinhonis,Gekkonidae,N,0.919296471,N,"Feldman et al., 2016",
Lizards,Gekko taibaiensis,Gekkonidae,N,0.852653728,N,"Feldman et al., 2016",
Lizards,Gekko takouensis,Gekkonidae,N,1.361540364,N,"Feldman et al., 2016",
Lizards,Gekko tawaensis,Gekkonidae,Y,0.869664804,N,"Feldman et al., 2016",
Lizards,Gekko taylori,Gekkonidae,N,1.596886772,N,"Feldman et al., 2016",
Lizards,Gekko thakhekensis,Gekkonidae,N,1.000739716,N,"Feldman et al., 2016",
Lizards,Gekko truongi,Gekkonidae,N,1.230193902,N,"Feldman et al., 2016",
Lizards,Gekko verreauxi,Gekkonidae,Y,1.805981951,N,"Feldman et al., 2016",
Lizards,Gekko vertebralis,Gekkonidae,Y,0.873038254,N,"Feldman et al., 2016",
Lizards,Gekko vietnamensis,Gekkonidae,N,1.166769637,N,"Feldman et al., 2016",
Lizards,Gekko vittatus,Gekkonidae,Y,1.683917958,N,"Feldman et al., 2016",
Lizards,Gekko wenxianensis,Gekkonidae,N,0.646613991,N,"Feldman et al., 2016",
Lizards,Gekko yakuensis,Gekkonidae,Y,0.886437956,N,"Feldman et al., 2016",
Lizards,Goggia braacki,Gekkonidae,N,0.007604739,N,"Feldman et al., 2016",
Lizards,Goggia essexi,Gekkonidae,N,-0.229206736,N,"Feldman et al., 2016",
Lizards,Goggia gemmula,Gekkonidae,N,-0.163477367,N,"Feldman et al., 2016",
Lizards,Goggia hewitti,Gekkonidae,N,0.104129943,N,"Feldman et al., 2016",
Lizards,Goggia hexapora,Gekkonidae,N,0.031625071,N,"Feldman et al., 2016",
Lizards,Goggia lineata,Gekkonidae,N,-0.093597751,N,"Feldman et al., 2016",
Lizards,Goggia microlepidota,Gekkonidae,N,0.830172334,N,"Feldman et al., 2016",
Lizards,Goggia rupicola,Gekkonidae,N,-0.104965237,N,"Feldman et al., 2016",
Lizards,Hemidactylus aaronbaueri,Gekkonidae,N,1.579257089,N,"Feldman et al., 2016",
Lizards,Hemidactylus acanthopholis,Gekkonidae,N,1.379340479,N,"Feldman et al., 2016",
Lizards,Hemidactylus adensis,Gekkonidae,N,0.234316184,N,"Feldman et al., 2016",
Lizards,Hemidactylus agrius,Gekkonidae,N,0.782088624,N,"Feldman et al., 2016",
Lizards,Hemidactylus albituberculatus,Gekkonidae,N,0.982430036,N,"Feldman et al., 2016",
Lizards,Hemidactylus albivertebralis,Gekkonidae,N,0.627130061,N,"Feldman et al., 2016",
Lizards,Hemidactylus albofasciatus,Gekkonidae,N,0.055173726,N,"Feldman et al., 2016",
Lizards,Hemidactylus albopunctatus,Gekkonidae,N,0.349139476,N,"Feldman et al., 2016",
Lizards,Hemidactylus alkiyumii,Gekkonidae,N,0.927372332,N,"Feldman et al., 2016",
Lizards,Hemidactylus anamallensis,Gekkonidae,N,0.951278654,N,"Feldman et al., 2016",
Lizards,Hemidactylus angulatus,Gekkonidae,N,0.869664804,N,"Feldman et al., 2016",
Lizards,Hemidactylus ansorgii,Gekkonidae,N,0.707110411,N,"Feldman et al., 2016",
Lizards,Hemidactylus aporus,Gekkonidae,Y,0.541432128,N,"Feldman et al., 2016",
Lizards,Hemidactylus aquilonius,Gekkonidae,N,0.523532381,N,"Feldman et al., 2016",
Lizards,Hemidactylus arnoldi,Gekkonidae,N,1.042405572,N,"Feldman et al., 2016",
Lizards,Hemidactylus awashensis,Gekkonidae,N,0.559068634,N,"Feldman et al., 2016",
Lizards,Hemidactylus barbierii,Gekkonidae,N,0.44913577,N,"Feldman et al., 2016",
Lizards,Hemidactylus barodanus,Gekkonidae,N,0.982430036,N,"Feldman et al., 2016",
Lizards,Hemidactylus bavazzanoi,Gekkonidae,N,0.18152846,N,"Feldman et al., 2016",
Lizards,Hemidactylus bayonii,Gekkonidae,N,0.317439108,N,"Feldman et al., 2016",
Lizards,Hemidactylus beninensis,Gekkonidae,N,1.01279269,N,"Feldman et al., 2016",
Lizards,Hemidactylus biokoensis,Gekkonidae,Y,1.021753584,N,"Feldman et al., 2016",
Lizards,Hemidactylus bouvieri,Gekkonidae,Y,0.44913577,N,"Feldman et al., 2016",
Lizards,Hemidactylus bowringii,Gekkonidae,N,1.031828975,N,"Feldman et al., 2016",
Lizards,Hemidactylus brasilianus,Gekkonidae,N,0.74518538,N,"Feldman et al., 2016",
Lizards,Hemidactylus brookii,Gekkonidae,N,1.085497421,N,"Feldman et al., 2016",
Lizards,Hemidactylus citernii,Gekkonidae,N,0.055173726,N,"Feldman et al., 2016",
Lizards,Hemidactylus coalescens,Gekkonidae,N,1.01279269,N,"Feldman et al., 2016",
Lizards,Hemidactylus craspedotus,Gekkonidae,N,0.763778943,N,"Feldman et al., 2016",
Lizards,Hemidactylus curlei,Gekkonidae,N,0.268259793,N,"Feldman et al., 2016",
Lizards,Hemidactylus dawudazraqi,Gekkonidae,N,0.446734847,N,"Feldman et al., 2016",
Lizards,Hemidactylus depressus,Gekkonidae,Y,1.085497421,N,"Feldman et al., 2016",
Lizards,Hemidactylus dracaenacolus,Gekkonidae,Y,0.835397879,N,"Feldman et al., 2016",
Lizards,Hemidactylus echinus,Gekkonidae,N,0.817890112,N,"Feldman et al., 2016",
Lizards,Hemidactylus endophis,Gekkonidae,N,0.647630745,N,"Feldman et al., 2016",
Lizards,Hemidactylus eniangii,Gekkonidae,N,0.697399745,N,"Feldman et al., 2016",
Lizards,Hemidactylus fasciatus,Gekkonidae,N,1.218885964,N,"Feldman et al., 2016",
Lizards,Hemidactylus festivus,Gekkonidae,N,0.53251565,N,"Feldman et al., 2016",
Lizards,Hemidactylus flaviviridis,Gekkonidae,N,1.218885964,N,"Feldman et al., 2016",
Lizards,Hemidactylus forbesii,Gekkonidae,Y,1.193368814,N,"Feldman et al., 2016",
Lizards,Hemidactylus foudaii,Gekkonidae,N,0.295830221,N,"Feldman et al., 2016",
Lizards,Hemidactylus frenatus,Gekkonidae,N,0.80012296,N,"Feldman et al., 2016",
Lizards,Hemidactylus funaiolii,Gekkonidae,N,0.120014424,N,"Feldman et al., 2016",
Lizards,Hemidactylus garnotii,Gekkonidae,N,0.817890112,N,"Feldman et al., 2016",
Lizards,Hemidactylus giganteus,Gekkonidae,N,1.518874036,N,"Feldman et al., 2016",
Lizards,Hemidactylus gleadowi,Gekkonidae,N,0.295830221,N,"Feldman et al., 2016",
Lizards,Hemidactylus gracilis,Gekkonidae,N,0.088032241,N,"Feldman et al., 2016",
Lizards,Hemidactylus granchii,Gekkonidae,N,0.707110411,N,"Feldman et al., 2016",
Lizards,Hemidactylus graniticolus,Gekkonidae,N,1.401225408,N,"Feldman et al., 2016",
Lizards,Hemidactylus granosus,Gekkonidae,N,0.525784515,N,"Feldman et al., 2016",
Lizards,Hemidactylus granti,Gekkonidae,Y,0.982430036,N,"Feldman et al., 2016",
Lizards,Hemidactylus greeffii,Gekkonidae,Y,1.102309764,N,"Feldman et al., 2016",
Lizards,Hemidactylus gujaratensis,Gekkonidae,N,0.756376075,N,"Feldman et al., 2016",
Lizards,Hemidactylus hajarensis,Gekkonidae,N,0.798331682,N,"Feldman et al., 2016",
Lizards,Hemidactylus homoeolepis,Gekkonidae,N,0.432227483,N,"Feldman et al., 2016",
Lizards,Hemidactylus hunae,Gekkonidae,Y,1.33891213,N,"Feldman et al., 2016",
Lizards,Hemidactylus imbricatus,Gekkonidae,N,0.585046418,N,"Feldman et al., 2016",
Lizards,Hemidactylus inexpectatus,Gekkonidae,N,0.298552721,N,"Feldman et al., 2016",
Lizards,Hemidactylus inintellectus,Gekkonidae,Y,0.677739292,N,"Feldman et al., 2016",
Lizards,Hemidactylus isolepis,Gekkonidae,N,0.472884284,N,"Feldman et al., 2016",
Lizards,Hemidactylus ituriensis,Gekkonidae,N,1.140645564,N,"Feldman et al., 2016",
