Taxon,Binomial,Family,Insular (Y/N),Maximum mass (log10(g)),Appears in fossil record? (Y/N),Reference for body size,Reference for fossil record
Amphisbaenians,Amphisbaena ignatiana,Amphisbaenidae,N,0.465550502,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena myersi,Amphisbaenidae,N,0.465550502,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis kabindae,Amphisbaenidae,N,0.465550502,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena borelli,Amphisbaenidae,N,0.511228137,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena arenaria,Amphisbaenidae,N,0.529168688,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena supernumeraria,Amphisbaenidae,N,0.529168688,N,"Feldman et al., 2016",
Amphisbaenians,Loveridgea phylofiniens,Amphisbaenidae,N,0.529168688,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena rozei,Amphisbaenidae,N,0.538070078,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca schaeferi,Amphisbaenidae,N,0.546926168,N,"Feldman et al., 2016",
Amphisbaenians,Ancylocranium somalicum,Amphisbaenidae,N,0.590542937,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena hiata,Amphisbaenidae,N,0.607688081,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena cubana,Amphisbaenidae,Y,0.624665952,N,"Feldman et al., 2016",
Amphisbaenians,Baikia africana,Amphisbaenidae,N,0.624665952,N,"Feldman et al., 2016",
Amphisbaenians,Bipes tridactylus,Bipedidae,N,0.628725109,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena manni,Amphisbaenidae,Y,0.674627795,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena bahiana,Amphisbaenidae,N,0.699080909,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena cayemite,Amphisbaenidae,Y,0.739087682,N,"Feldman et al., 2016",
Amphisbaenians,Zygaspis kafuensis,Amphisbaenidae,N,0.739087682,N,"Feldman et al., 2016",
Amphisbaenians,Zygaspis dolichomenta,Amphisbaenidae,N,0.785912516,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena polygrammica,Amphisbaenidae,N,0.79359561,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena cegei,Amphisbaenidae,N,0.808860778,N,"Feldman et al., 2016",
Amphisbaenians,Diplometopon zarudnyi,Trogonophiidae,N,0.814286397,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena prunicolor,Amphisbaenidae,N,0.875943867,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena schmidti,Amphisbaenidae,Y,0.890506446,N,"Feldman et al., 2016",
Amphisbaenians,Geocalamus modestus,Amphisbaenidae,N,0.890506446,N,"Feldman et al., 2016",
Amphisbaenians,Pachycalamus brevis,Trogonophiidae,Y,0.901085655,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena absaberi,Amphisbaenidae,N,0.904948171,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena fenestrata,Amphisbaenidae,Y,0.904948171,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena kingii,Amphisbaenidae,N,0.904948171,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena steindachneri,Amphisbaenidae,N,0.912124338,N,"Feldman et al., 2016",
Amphisbaenians,Agamodon anguliceps,Trogonophiidae,N,0.913931277,N,"Feldman et al., 2016",
Amphisbaenians,Blanus alexandri,Blanidae,N,0.913931277,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena ibijara,Amphisbaenidae,N,0.919984092,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena xera,Amphisbaenidae,Y,0.9263885,N,"Feldman et al., 2016",
Amphisbaenians,Ancylocranium barkeri,Amphisbaenidae,N,0.9263885,N,"Feldman et al., 2016",
Amphisbaenians,Zygaspis quadrifrons,Amphisbaenidae,N,0.9263885,N,"Feldman et al., 2016",
Amphisbaenians,Zygaspis ferox,Amphisbaenidae,N,0.940536692,N,"Feldman et al., 2016",
Amphisbaenians,Geocalamus acutus,Amphisbaenidae,N,0.947567885,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena townsendi,Amphisbaenidae,N,0.975411967,N,"Feldman et al., 2016",
Amphisbaenians,Mesobaena huebneri,Amphisbaenidae,N,0.975411967,N,"Feldman et al., 2016",
Amphisbaenians,Blanus mettetali,Blanidae,N,0.976291384,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena ridleyi,Amphisbaenidae,N,0.982303928,N,"Feldman et al., 2016",
Amphisbaenians,Mesobaena rhachicephala,Amphisbaenidae,N,0.982303928,N,"Feldman et al., 2016",
Amphisbaenians,Blanus strauchi,Blanidae,N,0.988406439,Y,"Feldman et al., 2016","Holman, 1998"
Amphisbaenians,Amphisbaena leali,Amphisbaenidae,Y,0.989168702,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca leucura,Amphisbaenidae,N,1.016360162,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena bakeri,Amphisbaenidae,Y,1.029798205,N,"Feldman et al., 2016",
Amphisbaenians,Dalophia luluae,Amphisbaenidae,N,1.029798205,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena occidentalis,Amphisbaenidae,N,1.043133274,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena stejnegeri,Amphisbaenidae,N,1.062946217,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena innocens,Amphisbaenidae,Y,1.08253612,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena roberti,Amphisbaenidae,N,1.08253612,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena carli,Amphisbaenidae,N,1.089017386,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena caudalis,Amphisbaenidae,Y,1.089017386,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena anomala,Amphisbaenidae,N,1.114703727,N,"Feldman et al., 2016",
Amphisbaenians,Blanus tingitanus,Blanidae,N,1.120052719,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis zambezensis,Amphisbaenidae,N,1.127406104,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena dubia,Amphisbaenidae,N,1.133722692,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena littoralis,Amphisbaenidae,N,1.146287497,N,"Feldman et al., 2016",
Amphisbaenians,Bipes biporus,Bipedidae,N,1.146961684,N,"Feldman et al., 2016",
Amphisbaenians,Bipes canaliculatus,Bipedidae,N,1.146961684,N,"Feldman et al., 2016",
Amphisbaenians,Trogonophis wiegmanni,Trogonophiidae,N,1.146961684,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena heterozonata,Amphisbaenidae,N,1.158762232,N,"Feldman et al., 2016",
Amphisbaenians,Zygaspis nigra,Amphisbaenidae,N,1.158762232,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena plumbea,Amphisbaenidae,N,1.177308247,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena frontalis,Amphisbaenidae,N,1.183446589,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena arda,Amphisbaenidae,N,1.189563354,N,"Feldman et al., 2016",
Amphisbaenians,Blanus aporus,Blanidae,N,1.209321792,N,"Feldman et al., 2016",
Amphisbaenians,Blanus mariae,Blanidae,N,1.214383694,N,"Feldman et al., 2016",
Amphisbaenians,Blanus cinereus,Blanidae,N,1.219425628,Y,"Feldman et al., 2016","Holman, 1998"
