Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species,body_mass_databases,new_body_mass_g
M92,14500,NA,Mammalia,Rodentia,Hystricidae,Hystrix indica,12435.8,12435.8
M93,30,NA,Mammalia,Rodentia,Cricetidae,Lagurus lagurus,20.3,20.3
M94,130,NA,Mammalia,Rodentia,Cricetidae,Lemmus lemmus,47.5,47.5
M95,115,NA,Mammalia,Rodentia,Cricetidae,Lemmus sibiricus,52.3,52.3
M96,2500,NA,Mammalia,Lagomorpha,Leporidae,Lepus capensis,3261.7,3261.7
M97,3450,NA,Mammalia,Lagomorpha,Leporidae,Lepus castroviejoi,2750,2750
M98,3800,NA,Mammalia,Lagomorpha,Leporidae,Lepus corsicanus,3000,3000
M99,6500,NA,Mammalia,Lagomorpha,Leporidae,Lepus europaeus,3740,3740
M100,3382,NA,Mammalia,Lagomorpha,Leporidae,Lepus granatensis,4010,4010
M101,4700,NA,Mammalia,Lagomorpha,Leporidae,Lepus timidus,3048,3048
M102,2500,NA,Mammalia,Lagomorpha,Leporidae,Lepus tolai,1589,1589
M103,14000,NA,Mammalia,Carnivora,Mustelidae,Lutra lutra,8785.1,8785.1
M104,29000,NA,Mammalia,Carnivora,Felidae,Lynx lynx,17950,17950
M105,14000,NA,Mammalia,Carnivora,Felidae,Lynx pardinus,9400,9400
M107,6000,NA,Mammalia,Rodentia,Sciuridae,Marmota baibacina,7500,7500
M108,7300,NA,Mammalia,Rodentia,Sciuridae,Marmota bobak,5500,5500
M109,8000,NA,Mammalia,Rodentia,Sciuridae,Marmota marmota,2010,2010
M110,2300,NA,Mammalia,Carnivora,Mustelidae,Martes foina,1540.8,1540.8
M111,1800,NA,Mammalia,Carnivora,Mustelidae,Martes martes,1300,1300
M112,1800,NA,Mammalia,Carnivora,Mustelidae,Martes zibellina,1130,1130
M113,9000,NA,Mammalia,Carnivora,Mustelidae,Meles leucurus,6250,6250
M114,16000,NA,Mammalia,Carnivora,Mustelidae,Meles meles,13000,13000
M115,60,NA,Mammalia,Rodentia,Muridae,Meriones crassus,80,80
M116,80,NA,Mammalia,Rodentia,Muridae,Meriones dahli,34.1,34.1
M117,90,NA,Mammalia,Rodentia,Muridae,Meriones libycus,91.3,91.3
M118,80,NA,Mammalia,Rodentia,Muridae,Meriones meridianus,41,41
M119,172,NA,Mammalia,Rodentia,Muridae,Meriones persicus,100,100
M120,140,NA,Mammalia,Rodentia,Muridae,Meriones tamariscinus,120,120
M121,130,NA,Mammalia,Rodentia,Muridae,Meriones tristrami,105,105
M122,159,NA,Mammalia,Rodentia,Muridae,Meriones vinogradovi,150,150
M123,125,NA,Mammalia,Rodentia,Cricetidae,Mesocricetus auratus,105,105
M124,258,NA,Mammalia,Rodentia,Cricetidae,Mesocricetus brandti,198,198
M125,115,NA,Mammalia,Rodentia,Cricetidae,Mesocricetus newtoni,97.5,97.5
M126,280,NA,Mammalia,Rodentia,Cricetidae,Mesocricetus raddei,260,260
M127,13,NA,Mammalia,Rodentia,Muridae,Micromys minutus,6,6
M128,50,NA,Mammalia,Rodentia,Cricetidae,Microtus agrestis,42.5,42.5
M129,NA,NA,Mammalia,Rodentia,Cricetidae,Microtus anatolicus,52.5,52.5
M130,42.25,NA,Mammalia,Rodentia,Cricetidae,Microtus arvalis,28,28
M131,NA,NA,Mammalia,Rodentia,Cricetidae,Microtus bavaricus,24,24
M132,26,NA,Mammalia,Rodentia,Cricetidae,Microtus brachycercus,22.8,22.8
M133,68,NA,Mammalia,Rodentia,Cricetidae,Microtus cabrerae,52.5,52.5
M134,25,NA,Mammalia,Rodentia,Cricetidae,Microtus daghestanicus,20,20
M135,NA,NA,Mammalia,Rodentia,Cricetidae,Microtus dogramacii,28,28
M136,32,NA,Mammalia,Rodentia,Cricetidae,Microtus duodecimcostatus,23,23
M137,NA,NA,Mammalia,Rodentia,Cricetidae,Microtus felteni,21,21
M138,24,NA,Mammalia,Rodentia,Cricetidae,Microtus gerbei,20.5,20.5
M139,25,NA,Mammalia,Rodentia,Cricetidae,Microtus gregalis,47.5,47.5
M140,67,NA,Mammalia,Rodentia,Cricetidae,Microtus guentheri,54,54
M141,54.3,NA,Mammalia,Rodentia,Cricetidae,Microtus levis,37.1,37.1
M142,33.7,NA,Mammalia,Rodentia,Cricetidae,Microtus liechtesteini,NA,33.7
M143,19,NA,Mammalia,Rodentia,Cricetidae,Microtus lusitanicus,17,17
