Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species
B409,19.1,NA,Aves,Passeriformes,Muscicapidae,Oenanthe deserti
B41,634,NA,Aves,Ciconiiformes,Threskiornithidae,Plegadis falcinellus
B410,18.6,NA,Aves,Passeriformes,Muscicapidae,Oenanthe cypriaca
B411,27.99,NA,Aves,Passeriformes,Muscicapidae,Oenanthe isabellina
B412,15,NA,Aves,Passeriformes,Timaliidae,Panurus biarmicus
B413,8,NA,Aves,Passeriformes,Aegithalidae,Aegithalos caudatus
B414,15.8,NA,Aves,Passeriformes,Paridae,Parus lugubris
B415,10.5,NA,Aves,Passeriformes,Paridae,Parus palustris
B416,10.5,NA,Aves,Passeriformes,Paridae,Parus montanus
B417,12.45,NA,Aves,Passeriformes,Paridae,Parus cinctus
B418,9,NA,Aves,Passeriformes,Paridae,Parus ater
B419,11.5,NA,Aves,Passeriformes,Paridae,Parus cristatus
B42,1450,NA,Aves,Ciconiiformes,Threskiornithidae,Platalea leucorodia
B420,18.5,NA,Aves,Passeriformes,Paridae,Parus major
B421,10.5,NA,Aves,Passeriformes,Paridae,Parus caeruleus
B422,12.68,NA,Aves,Passeriformes,Paridae,Parus cyanus
B423,21.5,NA,Aves,Passeriformes,Sittidae,Sitta europaea
B424,11.8,NA,Aves,Passeriformes,Sittidae,Sitta whiteheadi
B425,12.5,NA,Aves,Passeriformes,Sittidae,Sitta krueperi
B426,31,NA,Aves,Passeriformes,Sittidae,Sitta neumayer
B427,46.7,NA,Aves,Passeriformes,Sittidae,Sitta tephronota
B428,17.5,NA,Aves,Passeriformes,Sittidae,Tichodroma muraria
B429,9.5,NA,Aves,Passeriformes,Certhiidae,Certhia familiaris
B43,3052,NA,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus roseus
B430,10,NA,Aves,Passeriformes,Certhiidae,Certhia brachydactyla
B431,8.98,NA,Aves,Passeriformes,Remizidae,Remiz pendulinus
B432,71.5,NA,Aves,Passeriformes,Oriolidae,Oriolus oriolus
B433,34.5,NA,Aves,Passeriformes,Laniidae,Lanius collurio
B434,54.5,NA,Aves,Passeriformes,Laniidae,Lanius excubitor
B435,55.8,NA,Aves,Passeriformes,Laniidae,Lanius meridionalis
B436,49.27,NA,Aves,Passeriformes,Laniidae,Lanius minor
B437,22.8,NA,Aves,Passeriformes,Laniidae,Lanius nubicus
B438,39,NA,Aves,Passeriformes,Laniidae,Lanius senator
B439,82.7,NA,Aves,Passeriformes,Corvidae,Perisoreus infaustus
B44,11000,NA,Aves,Anseriformes,Anatidae,Cygnus olor
B440,165,NA,Aves,Passeriformes,Corvidae,Garrulus glandarius
B441,73.283,NA,Aves,Passeriformes,Corvidae,Cyanopica cyanus
B442,177.5,NA,Aves,Passeriformes,Corvidae,Pica pica
B443,175,NA,Aves,Passeriformes,Corvidae,Nucifraga caryocatactes
B444,320,NA,Aves,Passeriformes,Corvidae,Pyrrhocorax pyrrhocorax
B445,207.5,NA,Aves,Passeriformes,Corvidae,Pyrrhocorax graculus
B446,245,NA,Aves,Passeriformes,Corvidae,Corvus monedula
B447,450,NA,Aves,Passeriformes,Corvidae,Corvus frugilegus
B448,517.622,NA,Aves,Passeriformes,Corvidae,Corvus corone
B449,1145,NA,Aves,Passeriformes,Corvidae,Corvus corax
B45,9535,NA,Aves,Anseriformes,Anatidae,Cygnus cygnus
B450,75.05,NA,Aves,Passeriformes,Sturnidae,Sturnus roseus
B451,78,NA,Aves,Passeriformes,Sturnidae,Sturnus vulgaris
B452,90,NA,Aves,Passeriformes,Sturnidae,Sturnus unicolor
B453,27,NA,Aves,Passeriformes,Emberizidae,Emberiza citrinella
B454,27.5,NA,Aves,Passeriformes,Emberizidae,Emberiza leucocephalos
B455,21,NA,Aves,Passeriformes,Emberizidae,Emberiza cirlus
B456,25,NA,Aves,Passeriformes,Emberizidae,Emberiza cia
B457,21.1,NA,Aves,Passeriformes,Emberizidae,Emberiza buchanani
B458,22.3,NA,Aves,Passeriformes,Emberizidae,Emberiza cineracea
B459,23,NA,Aves,Passeriformes,Emberizidae,Emberiza hortulana
B46,6050,NA,Aves,Anseriformes,Anatidae,Cygnus columbianus
B460,21.1,NA,Aves,Passeriformes,Emberizidae,Emberiza caesia
B461,14.413,NA,Aves,Passeriformes,Emberizidae,Emberiza pusilla
B462,20.55,NA,Aves,Passeriformes,Emberizidae,Emberiza rustica
B463,21.4,NA,Aves,Passeriformes,Emberizidae,Emberiza aureola
B464,28.01,NA,Aves,Passeriformes,Emberizidae,Emberiza melanocephala
B465,24.3,NA,Aves,Passeriformes,Emberizidae,Emberiza bruniceps
B466,14.4,NA,Aves,Passeriformes,Emberizidae,Emberiza pallasi
B467,20.5,NA,Aves,Passeriformes,Emberizidae,Emberiza schoeniclus
B468,46.5,NA,Aves,Passeriformes,Emberizidae,Miliaria calandra
B469,24.093,NA,Aves,Passeriformes,Emberizidae,Calcarius lapponicus
B47,3020.5,NA,Aves,Anseriformes,Anatidae,Anser fabalis
B470,36.21,NA,Aves,Passeriformes,Emberizidae,Plectrophenax nivalis
B471,21.5,NA,Aves,Passeriformes,Fringillidae,Fringilla coelebs
B472,24.5,NA,Aves,Passeriformes,Fringillidae,Fringilla montifringilla
B473,54.55,NA,Aves,Passeriformes,Fringillidae,Pinicola enucleator
B474,22.95,NA,Aves,Passeriformes,Fringillidae,Carpodacus erythrinus
B475,45.9,NA,Aves,Passeriformes,Fringillidae,Carpodacus rubicilla
B476,53.2,NA,Aves,Passeriformes,Fringillidae,Loxia pytyopsittacus
B477,43.2,NA,Aves,Passeriformes,Fringillidae,Loxia scotica
B478,40,NA,Aves,Passeriformes,Fringillidae,Loxia curvirostra
B479,31.7,NA,Aves,Passeriformes,Fringillidae,Loxia leucoptera
B48,2486.2,NA,Aves,Anseriformes,Anatidae,Anser brachyrhynchus
B480,27.9,NA,Aves,Passeriformes,Fringillidae,Carduelis chloris
B481,14.1,NA,Aves,Passeriformes,Fringillidae,Carduelis flammea
B482,12.95,NA,Aves,Passeriformes,Fringillidae,Carduelis hornemanni
B483,12,NA,Aves,Passeriformes,Fringillidae,Carduelis spinus
B484,16,NA,Aves,Passeriformes,Fringillidae,Carduelis carduelis
B485,15.2722,NA,Aves,Passeriformes,Fringillidae,Carduelis flavirostris
B486,17.5,NA,Aves,Passeriformes,Fringillidae,Carduelis cannabina
B487,12,NA,Aves,Passeriformes,Fringillidae,Serinus pusillus
B488,12,NA,Aves,Passeriformes,Fringillidae,Serinus serinus
B489,17.5,NA,Aves,Passeriformes,Fringillidae,Serinus canaria
B49,2587,NA,Aves,Anseriformes,Anatidae,Anser albifrons
B490,12.5,NA,Aves,Passeriformes,Fringillidae,Serinus citrinella
B491,26,NA,Aves,Passeriformes,Fringillidae,Pyrrhula pyrrhula
B492,30,NA,Aves,Passeriformes,Fringillidae,Pyrrhula murina
B493,55,NA,Aves,Passeriformes,Fringillidae,Coccothraustes coccothraustes
B494,39.6,NA,Aves,Passeriformes,Fringillidae,Rhodopechys sanguinea
B495,20.9,NA,Aves,Passeriformes,Fringillidae,Bucanetes githagineus
B496,20.7,NA,Aves,Passeriformes,Fringillidae,Bucanetes mongolicus
B497,26.7,NA,Aves,Passeriformes,Fringillidae,Rhodospiza obsoleta
B498,28,NA,Aves,Passeriformes,Passeridae,Passer italiae
B499,30,NA,Aves,Passeriformes,Passeridae,Passer domesticus
B5,150,NA,Aves,Podicipediformes,Podicipedidae,Tachybaptus ruficollis
B50,1650,NA,Aves,Anseriformes,Anatidae,Anser erythropus
B500,27.78,NA,Aves,Passeriformes,Passeridae,Passer hispaniolensis
B501,18.15,NA,Aves,Passeriformes,Passeridae,Passer moabiticus
B502,22,NA,Aves,Passeriformes,Passeridae,Passer montanus
